MaterialType,Taxa
"土器付着物,焦,底部内面",
"土器付着物,焦,胴下内面",
"土器付着物,焦（アスファルト？）,胴内",
"土器付着物,焦,胴内面",
"土器付着物,焦,胴部内",
"土器付着物,焦,胴外",
"土器付着物,焦,胴部外",
"土器付着物,焦,胴外，胴内",
"土器付着物,焦,胴下外",
土器付着物焦底部内面,
"土器付着物,焦,胴内",
土器付着物焦胴内,
土器付着物焦胴内，底部内面,
"土器付着物,焦,胴内下部",
"土器付着物,焦,胴部内面",
"土器付着物,焦,内面",
"土器付着物,焦,胴内下",
土器付着物焦胴内下,
"土器付着物,焦,胴内中",
"土器付着物,焦,胴部内面中部",
"土器付着物,焦,口内",
"土器付着物,焦,口内外",
"土器付着物,焦,胴内部外面",
"土器付着物,焦,蓋内",
"土器付着物,焦,胴内上",
土器付着物（焦・甕胴内面）,
"土器付着物,焦,胴下内",
"土器付着物,焦,胴外下",
"土器付着物,焦,胴下部外面",
"土器付着物,焦,脚底部内面",
"土器付着物,焦,胴内下中",
"土器付着物,焦,頸内",
"土器付着物,焦,口縁内面",
"土器付着物,焦,口縁内",
"土器付着物,焦,口胴内",
土器付着物焦口縁内,
土器付着物（焦・口縁内）,
"土器付着物,焦,口縁内,胴内",
"土器付着物,焦,口縁内，胴内",
"土器付着物,焦,口縁内、胴内",
"土器付着物,焦,口縁内下，胴内中",
"土器付着物,焦,口縁内・胴内上",
"土器付着物,焦,口縁外",
"土器付着物,焦,口外",
"土器付着物,焦,口縁外・胴外",
"土器付着物,焦,口縁外，胴内",
"土器付着物,焦,口縁外・口縁内・胴内",
"土器付着物,焦，煤,胴内，胴外",
"土器付着物,焦,胴外上",
"土器付着物,焦，吹,胴内外",
土器付着物 炭化物,
"土器付着物,炭化物,底部内面",
"土器付着物,炭化物,胴外",
"土器付着物,炭化物,胴部外面",
"土器付着物,炭化物,口縁外",
"土器付着物,炭化物,口縁外面",
"土器付着物,炭化物,胴部上位・外面",
"土器付着物,煮焦げ,底部内面",
"土器付着物,煮焦げ,胴内面",
"土器付着物,煮焦げ,坏部内面",
"土器付着物,煮焦げ,胴部内面（胴下位内面）",
"土器付着物,煮焦げ,脚部内面",
"土器付着物,壺棺スス,胴部上半外面",
土器付着物（深鉢口縁内）,
"土器付着物,外面付着",
土器付着物（外面口縁部）,
"土器付着物,胴内",
土器付着物 胴内,
土器付着物（胴内）,
土器付着物・胴内,
土器付着物（胴内下面）,
"土器付着物,坏部内面",
"土器付着物,胴部内面",
"土器付着物,内面",
土器付着物（胴内下）,
"土器付着物,胴内上",
