"MaterialType" "Materials_Details_EN" "Notes"
"13741" "カキ、オキシジミガイ" "black clam (Cyclina sinensis) oysters (Ostreidae) basket clam (Corbiculidae spp.)" ""
"13737" "カキ、クボガイ" "oysters (Ostreidae) tegula snails (Chlorostoma lischkei)" ""
"13735" "カキ、コシダカガンガラ" "oysters (Ostreidae)" ""
"13733" "カキ、コシダカガンガラ、クボガイ" "oysters (Ostreidae) tegula snails (Chlorostoma lischkei)" ""
"29964" "カキ①" "oysters (Ostreidae)" ""
"29965" "カキ②" "oysters (Ostreidae)" ""
"29966" "カキ③" "oysters (Ostreidae)" ""
"29846" "カキO1" "oysters (Ostreidae)" ""
"29847" "カキO2" "oysters (Ostreidae)" ""
"21638" "カキ貝" "oysters (Ostreidae)" ""
"34038" "カゴ状炭化物" "carbonized material" ""
"5525" "カシ類" "oaks (Quercus subgen. Cyclobalanopsis)" ""
"43724" "カニ(腹節)"  "Needs translation"
"43730" "カニ(鉗節)"  "Needs translation"
"43733" "カニ(鉗脚)"  "Needs translation"
"22014" "カモ亜科 烏口骨" "duck (Anatidae etc) coracoid" ""
"40163" "カヤ?(壁材)"  "Needs translation"
"19063" "カヤツリグサ科(種実)" "seed/nuts Japanese nutmeg tree​ (Torreya nucifera) Sedges/Cyperus" ""
"6407" "カヤ状炭化物" "carbonized material Japanese nutmeg tree​ (Torreya nucifera)" ""
"38971" "カヤ状炭化物塊" "carbonized material, Japanese nutmeg tree​ (Torreya nucifera)" ""
"33867" "カワシンジュガイ" "freshwater pearl oyster (Margaritifera laevis)" ""
"34017" "カワシンジュガイ腹縁" "freshwater pearl oyster (Margaritifera laevis)" ""
"5972" "カワニナ" "kawanina (Semisulcospira libertina)" ""
"20809" "カワハギ科腰帯" "filefish (Monacanthidae ?Stephanolepis cirrhifer) pelvic girdle" ""
"22006" "ガン亜科 上腕 左" "geese (Anserinae) left humerus" ""
"24278" "キカラスウリ(種子)" "seed snake gourd (Trichosanthes kirilowii​) melon/gourd (Cucurbitaceae)" ""
"18486" "キカラスウリ種子" "seed snake gourd (Trichosanthes kirilowii​) melon/gourd (Cucurbitaceae)" ""
"8868" "キクザルガイ" "cemented saltwater clam (Chama reflexa)" ""
"33949" "キセル・羅宇" "I am completely stumped on this!!!" ""
"5534" "キハダ" "amur cork (Phellodendron)" ""
"20808" "クジラ目腰椎" "whale (Cetacea spp.)​" ""
"22007" "クジラ類" "whale (Cetacea spp.)​" ""
"15989" "クッキー状炭化物" "cookie-like charcoal (is this carbonized food material?)" ""
"5516" "クヌギ" "saw-tooth oak (Quercus acutissima)" ""
"37686" "クヌギ－アベマキ：果実完形" "complete fruit, saw-tooth oak (Quercus acutissima) Asian cork oak (Quercus variabilis)" ""
"29903" "クヌギ(堅果)" "nut saw-tooth oak (Quercus acutissima)" ""
"37307" "クヌギ節" "wood, saw-tooth oak (Quercus acutissima)" ""
"25901" "クヌギ節果実" "fruit /achenes etc saw-tooth oak (Quercus acutissima)" ""
"22013" "クマ 中手/中足" "bear (Ursidae) phlanges metatarsal" ""
"22009" "クマ 大腿骨 右 遠位" "bear (Ursidae) right femur" ""
"20838" "クマ犬歯" "bear (Ursidae) canine tooth" ""
"4692" "クリ" "chestnut (Castanea crenata)" ""
"12063" "クリ?" "chestnut (Castanea crenata)" ""
"11262" "クリ(種子)" "seed chestnut (Castanea crenata)" ""
"18505" "クリの実" "nut/fruit chestnut (Castanea crenata)" ""
"12059" "クリ子葉" "cotyledon chestnut (Castanea crenata)" ""
"38932" "クリ属果皮" "pericarp, chestnut (Castanea crenata)" ""
"7007" "クリ材" "material chestnut (Castanea crenata)" ""
"21491" "クリ果実" "fruit /achenes etc chestnut (Castanea crenata)" ""
"19204" "クリ果皮" "pericarp chestnut (Castanea crenata)" ""
"25027" "クリ炭化子葉" "carbonized cotyledon chestnut (Castanea crenata)" ""
"17153" "クリ皮" "chestnut (Castanea crenata)" ""
"6087" "クリ種実" "seed/nuts chestnut (Castanea crenata)" ""
"23116" "クリ種皮" "seed coat chestnut (Castanea crenata)" ""
"18557" "クリ近似種" "or similar chestnut (Castanea crenata)" ""
"8168" "クルミ" "walnut (Juglans)" ""
"33488" "クルミ（未炭化）" "carbonized walnut (Juglans)" ""
"11122" "クルミの殻" "nut shell walnut (Juglans)" ""
"33639" "クルミ属内果皮" "endocarp pericarp walnut (Juglans)" ""
"34445" "クルミ属堅果" "nut walnut (Juglans)" ""
"12428" "クルミ果皮" "pericarp walnut (Juglans)" ""
"4549" "クルミ核片" "walnut (Juglans)" ""
"7927" "クルミ殻" "shell walnut (Juglans)" ""
"15966" "クルミ種子" "seed walnut (Juglans)" ""
"37968" "クロマツ（球果1個体）" "cones, Japanese black pine (Pinus thunbergii)" ""
"8348" "ケヤキ" "Japanese zelkova (Zelkowa serrata)" ""
"37165" "ケヤキ材" "material, Japanese zelkova (Zelkowa serrata)" ""
"23639" "ケヤキ根" "root Japanese zelkova (Zelkowa serrata)" ""
"38934" "コナラ亜属果皮" "pericarp, Jolcham oak (Quercus serrata)" ""
"8349" "コナラ属" "oak (Quercus sp.)" ""
"29914" "コナラ属(堅果）" "nut oak (Quercus sp.)" ""
"37655" "コナラ属アカガシ亜属" "wood, ring-cupped oaks (Quercus subgenus Cyclobalanopsis)" ""
"6475" "コナラ属アカガシ亜属果実" "fruit /achenes etc oak (Quercus sp.) Japanese evergreen oak (Quercus acuta)" ""
"38980" "コナラ属アカガシ亜属炭化子葉（1破片）" "carbonized fragments cotyledon, ring-cupped oaks (Quercus subgenus Cyclobalanopsis)" ""
"25900" "コナラ属果実" "fruit /achenes etc oak (Quercus sp.)" ""
"33647" "コナラ属樹皮" "bark oak (Quercus sp.)" ""
"23991" "コナラ属炭化子葉" "carbonized cotyledon oak (Quercus sp.)" ""
"6903" "コナラ殻斗" "shell oak (Quercus sp.) / ?Jolcham Oak (Quercus serrata)" ""
"31039" "コムギ" "wheat (Triticum)" ""
"36667" "コラーゲン(人骨)" "human bone collogen" ""
"44462" "サガリバナ生材"  "Needs translation"
"44502" "サガリバナ生根材"  "Needs translation"
"44499" "サキシマスオウ炭化材"  "Needs translation"
"44471" "サキシマスオウ生材"  "Needs translation"
"5541" "サクラ類" "cherry (Cerasus sp.) cherry (Cerasus sp.)" ""
"43628" "サザエ"  "Needs translation"
"43809" "サザエの蓋"  "Needs translation"
"7672" "サメ椎体" "sharks (Selachimorpha) vertebra" ""
"42126" "サルノコシカケ"  "Needs translation"
"38249" "サルノコシカケ（樹木）" "tree, bracket fungi (Polyporaceae)" ""
"22016" "サルボウ" "ark clam (Anadara kagoshimensis)" ""
"43847" "サンゴ"  "Needs translation"
"22004" "シカ 下顎骨 右" "deer (Cervidae) right manidble" ""
"11270" "シカ 右大腿骨" "deer (Cervidae) right femur" ""
"26014" "シカ(右前頭骨)" "deer (Cervidae) right skull frontal cranium" ""
"4639" "シカの歯" "deer (Cervidae) tooth" ""
"36344" "シカの角" "deer (Cervidae) antler/horn" ""
"33950" "シカ大腿骨" "deer (Cervidae) femur" ""
"20844" "シカ角" "deer (Cervidae) antler/horn" ""
"20841" "シカ距骨" "deer (Cervidae)" ""
"20843" "シカ頸椎骨" "deer (Cervidae) cervical vertebra vertebra" ""
"6521" "シルト" "silt" ""
"22708" "シルト混じり細砂" "silt sand" ""
"5725" "シルト質粘土" "clay silt" ""
"14425" "スギ" "Japanese cedar (Cryptomeria japonica)" ""
"37171" "スギ材" "material, Japanese cedar (Cryptomeria japonica)" ""
"38734" "スギ材（側面）" "material, Japanese cedar (Cryptomeria japonica)" ""
"42821" "スギ材(杭)"  "Needs translation"
"42820" "スギ材(横板)"  "Needs translation"
"42802" "スギ炭化材"  "Needs translation"
"42803" "スギ生材"  "Needs translation"
"30098" "スサ材" "material straw cob?" ""
"11272" "スズキ" "Japanese sea bass (Lateolabrax japonicus)" ""
"6124" "スス状炭化物" "Soot like charcoal" ""
"5588" "スダジイ" "Itajii tree (Castanopis sieboldi)" ""
"37167" "スダジイ材" "material, Itajii tree (Castanopis sieboldi)" ""
"41602" "スモモ(核)"  "Needs translation"
"38909" "セタシジミ貝" "shell, Setashijimi shellfish (Corbicula sandai) " ""
"4409" "その他," "other" ""
"3312" "その他,アシ," "common reed (Phragmites communis)" ""
"3647" "その他,ウツギ," "bridal wreath (Deutzia crenata)" ""
"364" "その他,不明," "unknown" ""
"4467" "その他,土壌," "soil" ""
"3311" "その他,松葉," "Pine needles" ""
"2041" "その他,植物繊維," "plant textile fiber / fiborous" ""
"3644" "その他,植物遺体," "plant plant remains" ""
"713" "その他,炭化物," "carbonized material" ""
"660" "その他,砥石付着物,胴外" "residue outside" ""
"2710" "その他,竹皮," "bamboo bamboo bark" ""
"3819" "その他,繊維," "textile fiber / fiborous" ""
