"MaterialType" "Materials_Details_EN" "Notes"
"4608" "炭化材(クヌギ節:4年輪)" "carbonized material year ring saw-tooth oak (Quercus acutissima)" ""
"4876" "炭化材(クヌギ節)" "carbonized material saw-tooth oak (Quercus acutissima)" ""
"5140" "炭化材（クヌギ節）" "carbonized material saw-tooth oak (Quercus acutissima)" ""
"8810" "炭化材(クヌギ節の一種)" "carbonized material saw-tooth oak (Quercus acutissima)" ""
"20388" "炭化材(クヌギ類)" "carbonized material saw-tooth oak (Quercus acutissima)" ""
"7104" "炭化材(クマシデ属)" "carbonized material hornbeam (Carpinus sp.)" ""
"24534" "炭化材(クマシデ属イヌシデ節,クリ)" "carbonized material chestnut (Castanea crenata) Chonowski's hornbeam (Carpinus tschonoskii)" ""
"6943" "炭化材(クマシデ属イヌシデ節)" "carbonized material Chonowski's hornbeam (Carpinus tschonoskii)" ""
"23120" "炭化材(クマシデ属クマシデ設)" "carbonized material Japanese hornbeam (Carpinus japonica)" ""
"20287" "炭化材(クマシデ節)" "carbonized material hornbeam (Carpinus sp.)" ""
"21978" "炭化材(クマノミズキ類)" "carbonized material dogwood (Cornus controversa) dogwood (Cornus macrophylla)" ""
"25346" "炭化材(グミ)" "carbonized material Oleaster (Elaeagnus sp.)" ""
"25235" "炭化材(グミ属)" "carbonized material Oleaster (Elaeagnus sp.)" ""
"32278" "炭化材(クリ-コナラ属コナラ節)" "carbonized material chestnut (Castanea crenata) oak (Quercus sp.) Jolcham oak (Quercus serrata)" ""
"32848" "炭化材(クリ-コナラ節)" "carbonized material chestnut (Castanea crenata) Jolcham oak (Quercus serrata)" ""
"32893" "炭化材(クリ･イネ科タケ亜科)" "carbonized material Poaceae chestnut (Castanea crenata) bamboo (Bambusoideae)" ""
"20977" "炭化材(クリ･キハダ)" "carbonized material amur cork (Phellodendron) chestnut (Castanea crenata)" ""
"32085" "炭化材(クリ･スノキ属)(部位不明)" "unknown carbonized material chestnut (Castanea crenata) Blueberry etc (Vaccinium sp.)" ""
"5821" "炭化材(クリ･タケ亜科)" "carbonized material chestnut (Castanea crenata) bamboo (Bambusoideae)" ""
"22796" "炭化材(クリ, ケンポナシ属)" "carbonized material chestnut (Castanea crenata) Japanese raisin tree (Hovenia sp.)" ""
"23670" "炭化材(クリ, コナラ)" "carbonized material chestnut (Castanea crenata) oak (Quercus sp.) / ?Jolcham Oak (Quercus serrata)" ""
"22626" "炭化材(クリ, 広葉樹)" "carbonized material hardwoodchestnut (Castanea crenata)" ""
"14503" "炭化材(クリ,カエデ属)" "carbonized material chestnut (Castanea crenata) maple (Acer sp.)" ""
"14478" "炭化材(クリ,ブナ属)" "carbonized material chestnut (Castanea crenata) beech (Fagus sp.)" ""
"15005" "炭化材(クリ、カエデ属)" "carbonized material chestnut (Castanea crenata) maple (Acer sp.)" ""
"21372" "炭化材(クリ、サクラ属、カエデ属、ブナ属)" "carbonized material chestnut (Castanea crenata) maple (Acer sp.) Cherry, plum etc (Cerasus, Prunus etc) beech (Fagus sp.)" ""
"12234" "炭化材(クリ、マツ属複維管束亜属)" "carbonized material chestnut (Castanea crenata) pine (Pinus sp.) subgen compound vascular" ""
"15542" "炭化材(クリ、ヤマグワ)" "carbonized material chestnut (Castanea crenata) Chinese mulberry (Morus australis syn bombycis)" ""
"34022" "炭化材（クリ、最終形成年輪、外側4年輪分）" "carbonized material year ring chestnut (Castanea crenata)" ""
"9038" "炭化材(クリ、広葉樹)" "carbonized material hardwoodchestnut (Castanea crenata)" ""
"15791" "炭化材(クリ、散孔材)" "carbonized material chestnut (Castanea crenata)" ""
"14740" "炭化材(クリ、樹皮)" "carbonized material bark chestnut (Castanea crenata)" ""
"32359" "炭化材(クリ:1年輪分)" "carbonized material year ring chestnut (Castanea crenata)" ""
"7137" "炭化材(クリ?)" "carbonized material chestnut (Castanea crenata)" ""
"4547" "炭化材(クリ)" "carbonized material chestnut (Castanea crenata)" ""
"5131" "炭化材(クリ）" "carbonized material chestnut (Castanea crenata)" ""
"27571" "炭化材（クリ）" "carbonized material chestnut (Castanea crenata)" ""
"5104" "炭化材(クリ) 2年輪" "carbonized material year ring chestnut (Castanea crenata)" ""
"22237" "炭化材(クリ)･土壌" "carbonized material soil chestnut (Castanea crenata)" ""
"38585" "炭化材（クリ）最終形成年輪" "final outermost ring, chestnut (Castanea crenata)" ""
"26314" "炭化材(クリ−シイノキ属)" "carbonized material chestnut (Castanea crenata) chinquapin (Castanopsis sp.)" ""
"15325" "炭化材(クリまたはコナラ節)" "carbonized material chestnut (Castanea crenata) Jolcham oak (Quercus serrata)" ""
"6091" "炭化材(クリまたはシイノキ属)" "carbonized material chestnut (Castanea crenata) chinquapin (Castanopsis sp.)" ""
"28400" "炭化材(クリまたはシイ属)" "carbonized material chestnut (Castanea crenata) chinquapin (Castanopsis sp.)" ""
"31514" "炭化材(クリ材)" "carbonized material chestnut (Castanea crenata)" ""
"10277" "炭化材(クリ近似種)" "carbonized material or similar chestnut (Castanea crenata)" ""
"5791" "炭化材(クリ類似種)" "carbonized material or similar chestnut (Castanea crenata)" ""
"8703" "炭化材(クルミ属)" "carbonized material walnut (Juglans)" ""
"37815" "炭化材（クロウメモドキ属）" "carbonized material, buckthorn (Rhamnus sp.)" ""
"15363" "炭化材(クロモジ属)" "carbonized material spicebush (Lindera umbellata)" ""
"22561" "炭化材(クワ)" "carbonized material mullberry (Morus sp.)" ""
"5486" "炭化材(クワ属)" "carbonized material mullberry (Morus sp.)" ""
"23935" "炭化材(クワ属＆クマシデ属)" "carbonized material hornbeam (Carpinus sp.) mullberry (Morus sp.)" ""
"17439" "炭化材(ケヤキ、シキミ)" "carbonized material Japanese star anise (Illicum religiosum) Japanese zelkova (Zelkowa serrata)" ""
"4991" "炭化材(ケヤキ)" "carbonized material Japanese zelkova (Zelkowa serrata)" ""
"27723" "炭化材（ケヤキ）" "carbonized material Japanese zelkova (Zelkowa serrata)" ""
"4983" "炭化材(ケンポナシ)" "carbonized material Japanese raisin tree (Hovenia sp.)" ""
"7358" "炭化材(ケンポナシ属)" "carbonized material Japanese raisin tree (Hovenia sp.)" ""
"24002" "炭化材(コウヤマキ)" "carbonized material Japanese umbrella pine (Sciadopitys verticillata)" ""
"38947" "炭化材（コウヤマキ）" "charred wood, Japanese umbrella pine (Sciadopitys verticillata)" ""
"21984" "炭化材(コクサギ)" "carbonized material harlequin gloryblower (Clerodendrum trichotomum)" ""
"28056" "炭化材(コジイ)" "carbonized material chinquapin (Castanopsis?)" ""
"4579" "炭化材(コナラ)" "carbonized material oak (Quercus sp.) / ?Jolcham Oak (Quercus serrata)" ""
"33842" "炭化材（コナラ）" "carbonized material oak (Quercus sp.) / ?Jolcham Oak (Quercus serrata)" ""
"6397" "炭化材(コナラ亜属)" "carbonized material oak (Quercus sp.) / ?Jolcham Oak (Quercus serrata)" ""
"5401" "炭化材(コナラ亜属クヌギ節)" "carbonized material saw-tooth oak (Quercus acutissima) oak (Quercus sp.) / ?Jolcham Oak (Quercus serrata)" ""
"38638" "炭化材（コナラ亜属クヌギ節）" "carbonized material, saw-tooth oak (Quercus acutissima)" ""
"5833" "炭化材(コナラ亜属コナラ節)" "carbonized material Jolcham oak (Quercus serrata)" ""
"6436" "炭化材(コナラ属)" "carbonized material oak (Quercus sp.)" ""
"35746" "炭化材（コナラ属）" "carbonized material oak (Quercus sp.)" ""
"28879" "炭化材(コナラ属アカガシ亜属 シイノキ属 広葉樹(散孔材))" "carbonized material hardwood oak (Quercus sp.) chinquapin (Castanopsis sp.) Japanese evergreen oak (Quercus acuta)" ""
"43405" "炭化材(コナラ属アカガシ亜属･カキノキ属)"  "Needs translation"
"25165" "炭化材(コナラ属アカガシ亜属, クスノキ科. イネ科)" "carbonized material Poaceae oak (Quercus sp.) Lauraceae camphor tree (Cinnamomum camphora) Japanese evergreen oak (Quercus acuta)" ""
"27387" "炭化材(コナラ属アカガシ亜属、サクラ属、ユズリハ属)" "carbonized material oak (Quercus sp.) Japanese evergreen oak (Quercus acuta) Cherry, plum etc (Cerasus, Prunus etc) yuzuriha (Daphniphyllum sp.)" ""
"41757" "炭化材(コナラ属アカガシ亜属､ニガキ)"  "Needs translation"
"7893" "炭化材(コナラ属アカガシ亜属?)" "carbonized material oak (Quercus sp.) Japanese evergreen oak (Quercus acuta)" ""
"4767" "炭化材(コナラ属アカガシ亜属)" "carbonized material oak (Quercus sp.) Japanese evergreen oak (Quercus acuta)" ""
"38639" "炭化材（コナラ属アカガシ亜属）" "carbonized material, ring-cupped oaks (Quercus subgenus Cyclobalanopsis)" ""
"30013" "炭化材(コナラ属アカガシ亜属•1年輪)" "carbonized material year ring oak (Quercus sp.) Japanese evergreen oak (Quercus acuta)" ""
"30010" "炭化材(コナラ属アカガシ亜属•1年輪未満)" "carbonized material year ring oak (Quercus sp.) Japanese evergreen oak (Quercus acuta)" ""
"30012" "炭化材(コナラ属アカガシ亜属•4年輪？)" "carbonized material year ring oak (Quercus sp.) Japanese evergreen oak (Quercus acuta)" ""
"27730" "炭化材（コナラ属アカガシ亜属ブナ科）" "carbonized material oak (Quercus sp.) Japanese evergreen oak (Quercus acuta) Fagaceae" ""
"4540" "炭化材(コナラ属クヌギ)" "carbonized material oak (Quercus sp.) saw-tooth oak (Quercus acutissima)" ""
"4650" "炭化材(コナラ属クヌギ節)" "carbonized material oak (Quercus sp.) saw-tooth oak (Quercus acutissima)" ""
"24042" "炭化材(コナラ属クヌギ節とヒノキ属)" "carbonized material oak (Quercus sp.) saw-tooth oak (Quercus acutissima) cypress (Chamaecyparis sp.)" ""
"6886" "炭化材(コナラ属コナラ亜属)" "carbonized material oak (Quercus sp.)" ""
"6696" "炭化材(コナラ属コナラ亜属クヌギ節･クリ)" "carbonized material chestnut (Castanea crenata) oak (Quercus sp.) saw-tooth oak (Quercus acutissima)" ""
"4699" "炭化材(コナラ属コナラ亜属クヌギ節)" "carbonized material oak (Quercus sp.) saw-tooth oak (Quercus acutissima)" ""
"27551" "炭化材（コナラ属コナラ亜属クヌギ節）" "carbonized material oak (Quercus sp.) saw-tooth oak (Quercus acutissima)" ""
"15903" "炭化材(コナラ属コナラ亜属コナラ節、ニレ属)" "carbonized material oak (Quercus sp.) Jolcham oak (Quercus serrata) Elm (Ulmus sp.)" ""
"14634" "炭化材(コナラ属コナラ亜属コナラ節?)" "carbonized material oak (Quercus sp.) Jolcham oak (Quercus serrata)" ""
"4753" "炭化材(コナラ属コナラ亜属コナラ節)" "carbonized material oak (Quercus sp.) Jolcham oak (Quercus serrata)" ""
"27642" "炭化材（コナラ属コナラ亜属コナラ節）" "carbonized material oak (Quercus sp.) Jolcham oak (Quercus serrata)" ""
"29524" "炭化材(コナラ属コナラ亜属の一種:ブナ科)" "carbonized material oak (Quercus sp.) Fagaceae" ""
"28243" "炭化材(コナラ属コナラ亜科)" "carbonized material oak (Quercus sp.)" ""
"27940" "炭化材(コナラ属コナラ亜科クヌギ節)" "carbonized material oak (Quercus sp.) saw-tooth oak (Quercus acutissima)" ""
"31704" "炭化材(コナラ属コナラ亜科コナラ節･エゴノキ属)" "carbonized material oak (Quercus sp.) Jolcham oak (Quercus serrata) snowbell tree (Styrax sp.)" ""
"31706" "炭化材(コナラ属コナラ亜科コナラ節)" "carbonized material oak (Quercus sp.) Jolcham oak (Quercus serrata)" ""
"22898" "炭化材(コナラ属コナラ亜種クヌギ節)" "carbonized material oak (Quercus sp.) saw-tooth oak (Quercus acutissima)" ""
"22900" "炭化材(コナラ属コナラ亜種コナラ節)" "carbonized material oak (Quercus sp.) Jolcham oak (Quercus serrata)" ""
"31604" "炭化材(コナラ属コナラ節？)" "carbonized material oak (Quercus sp.) Jolcham oak (Quercus serrata)" ""
"5233" "炭化材(コナラ属コナラ節)" "carbonized material oak (Quercus sp.) Jolcham oak (Quercus serrata)" ""
"43548" "炭化材(コナラ属コナラ節）"  "Needs translation"
"27569" "炭化材（コナラ属コナラ節）" "carbonized material oak (Quercus sp.) Jolcham oak (Quercus serrata)" ""
"32354" "炭化材(コナラ属コナラ節コナラ節)" "carbonized material oak (Quercus sp.) Jolcham oak (Quercus serrata)" ""
"30957" "炭化材(コナラ族アカガシ亜属)" "carbonized material Japanese evergreen oak (Quercus acuta) oak (Quercus sp.) / ?Jolcham Oak (Quercus serrata)" ""
"22766" "炭化材(コナラ節, クリ)" "carbonized material chestnut (Castanea crenata) Jolcham oak (Quercus serrata)" ""
"36927" "炭化材(コナラ節,4年輪)" "carbonized material year ring Jolcham oak (Quercus serrata)" ""
"20099" "炭化材(コナラ節、エゴノキ属、ガマズミ属、サクラ属)" "carbonized material Jolcham oak (Quercus serrata) snowbell tree (Styrax sp.) Viburnum (Viburnum sp.) Cherry, plum etc (Cerasus, Prunus etc)" ""
"5235" "炭化材(コナラ節)" "carbonized material Jolcham oak (Quercus serrata)" ""
"5142" "炭化材（コナラ節）" "carbonized material Jolcham oak (Quercus serrata)" ""
"28363" "炭化材(ゴンズイ)" "carbonized material Asian sweetheart tree (Euscaphis japonica)" ""
"37717" "炭化材（サカキ、ミカン割状、樹皮無、年輪数14年以上、測定試料は外8年分）" "sample of 14 annual rings, no bark, sample for outside 8 years, Sakaki (Cleyera japonica)" ""
"15997" "炭化材(サカキ)" "carbonized material Sakaki (Cleyera japonica)" ""
"37361" "炭化材（サカキ）" "carbonized material, Sakaki (Cleyera japonica)" ""
"37288" "炭化材（サカキ近似種）" "carbonized material or similar, Sakaki (Cleyera japonica)" ""
"44500" "炭化材(サガリバナ)"  "Needs translation"
"5742" "炭化材(サクラ属､ケヤキ、タケ類)" "carbonized material Cherry, plum etc (Cerasus, Prunus etc) Japanese zelkova (Zelkowa serrata) bamboo (Bambusoideae)" ""
"5391" "炭化材(サクラ属)" "carbonized material Cherry, plum etc (Cerasus, Prunus etc)" ""
"31668" "炭化材(サクラ属）" "carbonized material Cherry, plum etc (Cerasus, Prunus etc)" ""
"37289" "炭化材（サクラ属）" "carbonized material, Cherry, plum etc (Cerasus, Prunus etc) cherry (Cerasus sp.)" ""
"22722" "炭化材(サワラ)" "carbonized material sawara cypress (Chamaecyparis pisifera)" ""
"8914" "炭化材(サンショウ属)" "carbonized material pepper tree (Zanthoxylum sp.) prickly ash (Zanthoxylum piperitum)" ""
"28083" "炭化材(シイノキ属，より外側〜4年輪分)" "carbonized material year ring chinquapin (Castanopsis sp.)" ""
"28081" "炭化材(シイノキ属，より外側〜5年輪分)" "carbonized material year ring chinquapin (Castanopsis sp.)" ""
"28079" "炭化材(シイノキ属，最外？〜5年輪分)" "carbonized material outermost year ring chinquapin (Castanopsis sp.)" ""
"41368" "炭化材(シイノキ属?)"  "Needs translation"
"8439" "炭化材(シイノキ属)" "carbonized material chinquapin (Castanopsis sp.)" ""
"37357" "炭化材（シイノキ属）" "carbonized fragments, chinquapin (Castanopsis sp.)" ""
"32641" "炭化材(シイノキ属)中心部" "carbonized material chinquapin (Castanopsis sp.)" ""
"28905" "炭化材(シイノキ属近似種)" "carbonized material or similar chinquapin (Castanopsis sp.)" ""
"41617" "炭化材(シイノキ属類似)"  "Needs translation"
"41375" "炭化材(シイノキ科)"  "Needs translation"
"30614" "炭化材(シイ属､ブナ科)" "carbonized material chinquapin (Castanopsis sp.) Fagaceae" ""
"43676" "炭化材(シイ属:オキナワジイ)"  "Needs translation"
"24114" "炭化材(シイ属)" "carbonized material chinquapin (Castanopsis sp.)" ""
"31989" "炭化材(シキミ?)" "carbonized material Japanese star anise (Illicum religiosum)" ""
"8656" "炭化材(シキミ)" "carbonized material Japanese star anise (Illicum religiosum)" ""
"41720" "炭化材(シキミ属)"  "Needs translation"
"10622" "炭化材(シナノキ属?)" "carbonized material Linden/Lime (Tilia sp.)" ""
"20915" "炭化材(シナノキ属)" "carbonized material Linden/Lime (Tilia sp.)" ""
"26310" "炭化材(シャシャンボ)" "carbonized material sea bilberry (Vaccinium bracteatum)​" ""
"8263" "炭化材(シラキ)" "carbonized material tallow tree (Neoshirakia japonica syn. Sapium japonicum)" ""
"14053" "炭化材(シラキ属)" "carbonized material tallow tree (Neoshirakia japonica syn. Sapium japonicum)" ""
"42182" "炭化材(シロカシorウラジロガシ)"  "Needs translation"
"30696" "炭化材(シロダモ属)" "carbonized material shirodamo (Neolitsea sp.)" ""
"30608" "炭化材(シロモジ節､クスノキ科)" "carbonized material Lauraceae camphor tree (Cinnamomum camphora) Spicebush (Lindera triloba)" ""
"26343" "炭化材(スギ )" "carbonized material Japanese cedar (Cryptomeria japonica)" ""
"11978" "炭化材(スギ?)" "carbonized material Japanese cedar (Cryptomeria japonica)" ""
"7179" "炭化材(スギ)" "carbonized material Japanese cedar (Cryptomeria japonica)" ""
"38943" "炭化材（スギ）" "charred wood, Japanese cedar (Cryptomeria japonica)" ""
"5134" "炭化材(スギ) 1-5年輪" "carbonized material year ring Japanese cedar (Cryptomeria japonica)" ""
"5135" "炭化材(スギ) 11-15年輪" "carbonized material year ring Japanese cedar (Cryptomeria japonica)" ""
"5136" "炭化材(スギ) 21-24年輪" "carbonized material year ring Japanese cedar (Cryptomeria japonica)" ""
"32358" "炭化材(ススキ属:直径3㎜)" "carbonized material silvergrass (Miscanthus sp.)" ""
"9715" "炭化材(ススキ属)" "carbonized material silvergrass (Miscanthus sp.)" ""
"24403" "炭化材(スダジイ)" "carbonized material Itajii tree (Castanopis sieboldi)" ""
"37376" "炭化材（スダジイ）" "carbonized material, Itajii tree (Castanopis sieboldi)" ""
"26930" "炭化材(スノキ属)" "carbonized material Blueberry etc (Vaccinium sp.)" ""
"32089" "炭化材(スノキ属)(部位不明)" "unknown carbonized material Blueberry etc (Vaccinium sp.)" ""
"28804" "炭化材(センダン)" "carbonized material chinaberry tree (Melia azedarach)" ""
"24593" "炭化材(タイミンタチバナ)" "carbonized material colicwood (Myrsine seguinii)" ""
"16197" "炭化材(タカノツメ)" "carbonized material Takanotsume (Gamblea innovans)" ""
"23634" "炭化材(タケ)" "carbonized material bamboo (Bambusoideae)" ""
"44745" "炭化材（タケ）"  "Needs translation"
"37720" "炭化材（タケ亜科、破片、樹皮無、測定試料は全量）" "carbonized material without bark fragments sample, bamboo (Bambusoideae) bamboo" ""
"5105" "炭化材(タケ亜科)" "carbonized material bamboo (Bambusoideae)" ""
"37363" "炭化材（タケ亜科）" "carbonized material, bamboo (Bambusoideae) bamboo" ""
"25157" "炭化材(タニウツギ属)" "carbonized material deutzia (Deutzia sp.)" ""
"28641" "炭化材(タブノキ)" "carbonized material Japanese bay tree (Machilus thunbergii)" ""
"28157" "炭化材(タブノキ属)" "carbonized material bay tree (Machilus sp.)" ""
"4701" "炭化材(タラノキ)" "carbonized material devil's walking stick tree (Aralia elata)" ""
"14779" "炭化材(チドリノキ)" "carbonized material hornbeam maple (Acer carpinifolium)" ""
"15469" "炭化材(ツガ属)" "carbonized material Tsuga (Tsuga sp.) tsuga (Tsuga sp.)" ""
"30980" "炭化材(ツクバネウツギ属)" "carbonized material deutzia (Deutzia sp.)" ""
"27875" "炭化材(ツゲ属)" "carbonized material Tsuga (Tsuga sp.)" ""
"14246" "炭化材(ツツジ属)" "carbonized material rhododendron (Rhododendron sp.)" ""
"37722" "炭化材（ツバキ属、ミカン割状、樹皮有、年輪数9年、測定試料は外5年分）" "carbonized material bark year ring sample, camellia (Camellia sp.)" ""
"8919" "炭化材(ツバキ属)" "carbonized material camellia (Camellia sp.)" ""
"29125" "炭化材(ツバキ属近似種)" "carbonized material or similar camellia (Camellia sp.)" ""
"27984" "炭化材(ツバキ科ツバキ属)" "carbonized material camellia (Camellia sp.)" ""
"25350" "炭化材(ツブラジイ)" "carbonized material Japanese Chinquapin (Castanopsis cuspidata)" ""
"37377" "炭化材（ツブラジイ）" "carbonized material, Japanese Chinquapin (Castanopsis cuspidata)" ""
"26328" "炭化材(ツブラジイ−コナラ属)" "carbonized material oak (Quercus sp.) Japanese Chinquapin (Castanopsis cuspidata)" ""
"25099" "炭化材(ツルウメモドキ属)" "carbonized material Asian bittersweet (Celastrus sp.)" ""
"21143" "炭化材(つる植物)" "carbonized plant material vine" ""
"22904" "炭化材(トウヒ属-カラマツ属)" "carbonized material larch (Larix sp.) spruce (Picea sp.)" ""
"9115" "炭化材(トウヒ属?）" "carbonized material spruce (Picea sp.)" ""
"4982" "炭化材(トウヒ属？の一種)" "carbonized material spruce (Picea sp.)" ""
"8709" "炭化材(トウヒ属)" "carbonized material spruce (Picea sp.)" ""
"6398" "炭化材(トウヒ属バラモミ節の一種)" "carbonized material fir (Abies sp.) spruce (Picea sp.)" ""
"8216" "炭化材(トウヒ属またはカラマツ属)" "carbonized material larch (Larix sp.) spruce (Picea sp.)" ""
"8434" "炭化材(トガサワラ)" "carbonized material sawara cypress (Chamaecyparis pisifera)" ""
"4782" "炭化材(トチノキ)" "carbonized material horse chestnut (Aesculus turbinata) Aesculus??" ""
"18236" "炭化材(トネリコ)" "carbonized material Japanese ash (Fraxinus japonica)​" ""
"34480" "炭化材（トネリコ）" "carbonized material Japanese ash (Fraxinus japonica)​" ""
"6620" "炭化材(トネリコ属)" "carbonized material Ash (Fraxinus sp.)" ""
"27568" "炭化材（トネリコ属）" "carbonized material Ash (Fraxinus sp.)" ""
"42341" "炭化材(トネリコ属クヌギ節)"  "Needs translation"
"7775" "炭化材(トネリコ属シオジ節)" "carbonized material Ash (Fraxinus sp.) Ash (Fraxinus platypoda)" ""
"38884" "炭化材（トネリコ属根材）" "carbonized material root, Ash (Fraxinus sp.)" ""
"34021" "炭化材（トネリコ節）最終形成年輪、3年輪分" "carbonized material year ring Japanese ash (Fraxinus japonica)​" ""
"12927" "炭化材(トネリコ類)" "carbonized material Japanese ash (Fraxinus japonica)​" ""
"29113" "炭化材(ナシ亜属)" "carbonized material Pear (Pyrus sp.) Pear (Pyrus sp.)" ""
"25005" "炭化材(ナシ亜科)" "carbonized material Pear (Pyrus)=Maleae subfamily" ""
"24775" "炭化材(ナツツバキ属)" "carbonized material camellia (Camellia sp.)" ""
"15358" "炭化材(ナナカマド属)" "carbonized material Sorbus (Sorbus sp.)" ""
"12196" "炭化材(ナナカマド近似種)" "carbonized material or similar" ""
"12413" "炭化材(ナラ)" "carbonized material" ""
"9563" "炭化材(ナラ類)" "carbonized material oaks" ""
"5616" "炭化材(ニガキ)" "carbonized material bitterwood (Picrasma quassioides)​" ""
"10401" "炭化材(ニシキギ属)" "carbonized material spindle tree (Euonymus sp.)" ""
"34806" "炭化材（ニレ属(5)）" "carbonized material Elm (Ulmus sp.)" ""
"5232" "炭化材(ニレ属)" "carbonized material Elm (Ulmus sp.)" ""
"33906" "炭化材（ニレ属）" "carbonized material Elm (Ulmus sp.)" ""
"20127" "炭化材(ニレ科)" "carbonized material Ulmaceae" ""
"20944" "炭化材(ニレ科エノキ属)" "carbonized material hackberry (Celtis sp.) Ulmaceae" ""
"27959" "炭化材(ニレ科ケヤキ属)" "carbonized material Japanese zelkova (Zelkowa serrata) Ulmaceae" ""
"32790" "炭化材(ニレ科ニレ属)" "carbonized material Elm (Ulmus sp.) Ulmaceae" ""
"7148" "炭化材(ニワトコ)" "carbonized material Elderberry (Sambucus sp.)" ""
"4762" "炭化材(ヌルデ)" "carbonized material Chinese sumac (Brucea javanica syn. Rhus)​" ""
"15933" "炭化材(ネジキ)" "carbonized material nejiki (Lyonia ovalifolia)" ""
"26940" "炭化材(ネズコ?)" "carbonized material Japanese arborvitae (Thuja standishii)​" ""
"26926" "炭化材(ネズコ)" "carbonized material Japanese arborvitae (Thuja standishii)​" ""
"15902" "炭化材(ネムノキ)" "carbonized material silk tree (Albizia julibrissin)" ""
"31279" "炭化材（ネムノキ)" "carbonized material silk tree (Albizia julibrissin)" ""
"28635" "炭化材(ハイノキ)" "carbonized material hainoki (Symplocos sp.)" ""
"24246" "炭化材(ハイノキ属)" "carbonized material hainoki (Symplocos sp.)" ""
"25008" "炭化材(ハイノキ属サワフタギ節)" "carbonized material hainoki (Symplocos sp.) sawafutagi (Symplocos chinensis)" ""
"28809" "炭化材(ハイノキ属ハイノキ節)" "carbonized material hainoki (Symplocos sp.)" ""
"30669" "炭化材(ハイノキ節)" "carbonized material hainoki (Symplocos sp.)" ""
"15270" "炭化材(ハコヤナギ属)" "carbonized material Aspen (Populus sp.) willow (Salix sp.)" ""
"34651" "炭化材（ハコヤナギ属）" "carbonized material Aspen (Populus sp.) willow (Salix sp.)" ""
"25149" "炭化材(ハシドイ)" "carbonized material Japanese tree lilac (Syringa reticulata)" ""
"22609" "炭化材(ハシバミ属)" "carbonized material hazel (Corylus sp.)" ""
"25017" "炭化材(ハゼノキorヤマハゼ?)" "carbonized material wax tree (Toxicodendron succedaneum syn. Rhus) wax tree (Toxicodendron sylvestris syn. Rhus)" ""
"31043" "炭化材(ハゼノキ類)" "carbonized material wax tree (Toxicodendron succedaneum syn. Rhus)" ""
"38675" "炭化材（ハゼノキ類近似種）" "carbonized material or similar, wax tree (Toxicodendron succedaneum syn. Rhus)" ""
"30613" "炭化材(ハマビワ､クスノキ科)" "carbonized material Lauraceae camphor tree (Cinnamomum camphora)" ""
"14284" "炭化材(バラ属)" "carbonized material rose (Rosa sp.)" ""
"18229" "炭化材(バラ科)" "carbonized material Rosaceae" ""
"20355" "炭化材(バラ科サクラ属)" "carbonized material Rosaceae Cherry, plum etc (Cerasus, Prunus etc)" ""
"28807" "炭化材(バラ科ナシ亜属)" "carbonized material Rosaceae Pear (Pyrus sp.) Pear (Pyrus sp.)" ""
"22306" "炭化材(バラ科ナシ亜科)" "carbonized material Rosaceae Pear (Pyrus)=Maleae subfamily" ""
"11383" "炭化材(ハリギリ)" "carbonized material castor aralia (Kalopanax septemlobus)" ""
"11621" "炭化材(ハルニレ)" "carbonized material Japanese elm (Ulmus davidiana var. japonica)​" ""
"4544" "炭化材(ハンノキ亜属)" "carbonized material Japanese alder (Alnus japonica)​" ""
"5216" "炭化材（ハンノキ亜属）" "carbonized material Japanese alder (Alnus japonica)​" ""
"7777" "炭化材(ハンノキ属)" "carbonized material alder (Alnus sp.)​" ""
"15006" "炭化材(ハンノキ属ハンノキ亜属、クリ)" "carbonized material chestnut (Castanea crenata) Japanese alder (Alnus japonica)​ alder (Alnus sp.)​" ""
"4542" "炭化材(ハンノキ属ハンノキ亜属)" "carbonized material Japanese alder (Alnus japonica)​ alder (Alnus sp.)​" ""
"14510" "炭化材(ハンノキ属ハンノキ節)" "carbonized material alder (Alnus sp.)​ Japanese alder (Alnus japonica)​" ""
"14751" "炭化材(ハンノキ属ヤシャブシ亜属)" "carbonized material alder (Alnus sp.)​ alder yashabushi (Alnus firma)" ""
"10289" "炭化材(ハンノキ節)" "carbonized material Japanese alder (Alnus japonica)​" ""
"43839" "炭化材(ヒイラギ?)"  "Needs translation"
"15311" "炭化材(ヒサカキ)" "carbonized material Sakaki (Cleyera japonica)" ""
"38691" "炭化材（ヒサカキ）" "carbonized material, Sakaki (Cleyera japonica)" ""
"30693" "炭化材(ヒサカキ属)" "carbonized material Sakaki (Cleyera japonica)" ""
"5935" "炭化材(ヒノキ)" "carbonized material hinoki cypress (Chamaecyparis obtusa)" ""
"37444" "炭化材（ヒノキ）" "carbonized material, hinoki cypress (Chamaecyparis obtusa)" ""
"21029" "炭化材(ヒノキorスギ)" "carbonized material Japanese cedar (Cryptomeria japonica) hinoki cypress (Chamaecyparis obtusa)" ""
"22457" "炭化材(ヒノキ属, クリ)" "carbonized material chestnut (Castanea crenata) cypress (Chamaecyparis sp.)" ""
"24017" "炭化材(ヒノキ属、カエデ属)" "carbonized material cypress (Chamaecyparis sp.) maple (Acer sp.)" ""
"15709" "炭化材(ヒノキ属、クリ、エゴノキ属)" "carbonized material chestnut (Castanea crenata) cypress (Chamaecyparis sp.) snowbell tree (Styrax sp.)" ""
