MaterialType,Taxa
"種実,マメ,",Glycine / Vigna / Pisium / Vicia faba
"土器付着物,煤（漆？）,口縁外・胴外",
"土器付着物,煤?,胴外下",
"種実,コムギ,",Triticum sp.
木材，ウイグルマッチング，外から11年輪,
木材，ウイグルマッチング，外から71年輪,
木材，ウイグルマッチング，外から81年輪,
"土器付着物,焦,胴部内",
"土器付着物,煤,胴部外",
"土器付着物,煤,頸部外",
"土器付着物,焦,胴部外",
木材，ウイグルマッチング，最外から5年輪,
木材，ウイグルマッチング，最外から11年輪,
木材，ウイグルマッチング，最外から21年輪,
木材，ウイグルマッチング，最外から31年輪,
木材，ウイグルマッチング，最外から41年輪,
木材，ウイグルマッチング，最外から49年輪,
木材，ウイグルマッチング，中心から6年輪,
木材，ウイグルマッチング，中心から16年輪,
木材，ウイグルマッチング，中心から26年輪,
木材，ウイグルマッチング，中心から36年輪,
木材，ウイグルマッチング，中心から46年輪,
木材，ウイグルマッチング，外から31-35年輪,
木材，ウイグルマッチング，外から51-55年輪,
木材，ウイグルマッチング，外から71-75年輪,
木材，ウイグルマッチング，外から91-95年輪,
木材，ウイグルマッチング，外から111-115年輪,
木材，ウイグルマッチング，外から131-135年輪,
"土器付着物,焦,胴部内面中部",
"土器付着物,焦,頸内",
"土器付着物,煤,頸外面",
"木材,タケ,胴外",Bambusoideae
"土器付着物,焦,胴内部外面",
"土器付着物,煤,胴下部外面",
"土器付着物,焦,胴下部外面",
"種実,ウリ,",Cucumis melo
"木材,広葉樹,樹皮直下内側最外縁",Angliosperms
"その他,竹皮,",Bambusoideae
"木材,不明",
"木材,不明,不明",
"種実,ヒョウタン？,果皮",Lagenaria siceraria (var. gourda Makino)
"木材,針葉樹（スギ）,不明","Coniferae, Cryptomeria japonica"
"木材,ゴヨウマツ,樹皮直下内側最外縁",Pinus parviflora
"土器付着物,焦（アワ状）,胴内",Setaria italica
"土器付着物,焦,脚底部内面",
"漆,漆片,胴内",
"種実,コメ,焼米",Oryza sativa
"土器付着物,煤,口縁外，胴内",
木材，ウイグルマッチング，外から91年輪,
木材，ウイグルマッチング，外から101輪,
"土器付着物,煤?,口縁内",
"土器付着物,煤,坏",
"土器付着物,煤?,胴外上",
"種実,マメ科,",Fabaceae
"土器付着物,煤,胴下半外面",
"土器付着物,煤,頸部・外面",
"土器付着物,膜状,胴部中位外面",
"土器付着物,吹?,胴部最大径下位・外面",
"土器付着物,煤,胴部最大径・外面",
"土器付着物,吹?,口縁部外面",
"土器付着物,煤,胴部上位外面",
"土器付着物,煤,胴部中位外面",
"土器付着物,吹，煤,胴部中位外面",
"土器付着物,吹,胴部中位外面",
"土器付着物,胴部下位外面",
"土器付着物,煤状,胴部中位外面",
"土器付着物,煤,胴部下位外面",
"木材，ウイグルマッチング，クスノキ,内から5層",Cinnamomum camphora
"木材，ウイグルマッチング，クスノキ,内から25層",Cinnamomum camphora
"木材，ウイグルマッチング，クスノキ,内から45層",Cinnamomum camphora
"木材，ウイグルマッチング，クスノキ,内から65層",Cinnamomum camphora
"木材，ウイグルマッチング，クスノキ,内から85層",Cinnamomum camphora
"木材，ウイグルマッチング，クスノキ,内から105層",Cinnamomum camphora
"種実,トチ,皮殻",Aesculus turbinata
"土器付着物,焦,胴内下中",
"種実,ダイズ,",Glycine max
"骨,ブダイ,",Calotomus japonicus
"骨,イノシシ,",Sus scrofa
"骨,ジュゴン,",Dugong dugon
"貝,アラスジケマンガイ,",Gafrarium tumidum
"貝,チョウセンサザエ,",Turbo (Marmarostoma) argyrostomus
"貝,マガキガイ,",Conomurex luhuanus
"貝,シャコガイ,",Tridacninae
"土器付着物,焦,蓋内",
"漆,塗膜,胴外",
"木材，ウイグルマッチング，モミ属,最外1年目",Abies sp.
"木材，ウイグルマッチング，モミ属,最外11年目",Abies sp.
"木材，ウイグルマッチング，モミ属,最外21年目",Abies sp.
"木材,コナラ属コナラ亜属コナラ節,",Quercus subgen. Quercus
"木材,板材最外縁",
"種実,ヒョウタン,",Lagenaria siceraria (var. gourda Makino)
木材，ウイグルマッチング，最も内側,
木材，ウイグルマッチング，最内から10層目,
