"Material_Classification","Material_Details_JPN","inconsistent","Materials_Details_EN","Materials_Detail_Identification_EN","Materials_Detail_Other_EN","Materials_Detail_Notes_EN"
"Charred Seed","種実,ヒエ属,",0,"seed/nuts barnyard millet (Echinochloa)","barnyard millet (Echinochloa)","seed/nuts",""
"Charred Seed","種実,ブドウ科,",0,"seed/nuts grapes (Vitaceae)","grapes (Vitaceae)","seed/nuts",""
"Charred Seed","種実,ホルトノキ,",0,"seed/nuts horutonoki tree (Elaeocarpus sylvestris var. ellipticus)","horutonoki tree (Elaeocarpus sylvestris var. ellipticus)","seed/nuts",""
"Charred Seed","種実,マメ,",0,"seed/nuts legume (Fabaceae)","legume (Fabaceae)","seed/nuts",""
"Charred Seed","種実,マメ？,",0,"seed/nuts legume (Fabaceae)","legume (Fabaceae)","seed/nuts",""
"Charred Seed","種実,マメ科,",0,"seed/nuts Fabaceae legume (Fabaceae)","Fabaceae legume (Fabaceae)","seed/nuts",""
"Charred Seed","種実,モモ,核",1,"seed/nuts peach (Amygdalus persica syn. Prunus)","peach (Amygdalus persica syn. Prunus)","seed/nuts",""
"Charred Seed","種実,不明,",0,"unknown seed/nuts","","unknown seed/nuts",""
"Charred Seed","種実,堅果？,子実",0,"nut seed/nuts grain","","nut seed/nuts grain",""
"Charred Seed","種実,堅果類,",0,"nut seed/nuts","","nut seed/nuts",""
"Charred Seed","種実？（クルミ片？）",0,"seed/nuts walnut (Juglans)","walnut (Juglans)","seed/nuts",""
"Charred Seed","種実（エゾエンゴサク根茎・炭化植物遺体）",0,"carbonized plant seed/nuts stem root plant remains Ezoengosaku (Corydalis ambigua)","Ezoengosaku (Corydalis ambigua)","carbonized plant seed/nuts stem root plant remains","Papaveraceae blue flowers tubers eaten by Ainu"
"Charred Seed","種実（オオムギ炭化種子）",0,"carbonized seed seed/nuts barley (Hordeum sp.)","barley (Hordeum sp.)","carbonized seed seed/nuts",""
"Charred Seed","種実（オオムギ種子・炭化植物遺体）",0,"carbonized plant seed seed/nuts plant remains barley (Hordeum sp.)","barley (Hordeum sp.)","carbonized plant seed seed/nuts plant remains",""
"Charred Seed","種実（オオムギ穎果・炭化植物遺体（0.21g））",0,"carbonized plant seed/nuts plant remains barley (Hordeum sp.)","barley (Hordeum sp.)","carbonized plant seed/nuts plant remains",""
"Charred Seed","種実（オニグルミ堅果皮片・炭化植物遺体（0.52g））",0,"carbonized plant nut seed/nuts plant remains pericarp walnut (Juglans ailanthifolia)","walnut (Juglans ailanthifolia)","carbonized plant nut seed/nuts plant remains pericarp",""
"Charred Seed","種実（オニグルミ堅果皮片・炭化植物遺体（0.56g））",0,"carbonized plant nut seed/nuts plant remains pericarp walnut (Juglans ailanthifolia)","walnut (Juglans ailanthifolia)","carbonized plant nut seed/nuts plant remains pericarp",""
"Charred Seed","種実（オニグルミ堅果皮片・炭化植物遺体（0.59g））",0,"carbonized plant nut seed/nuts plant remains pericarp walnut (Juglans ailanthifolia)","walnut (Juglans ailanthifolia)","carbonized plant nut seed/nuts plant remains pericarp",""
"Charred Seed","種実（オニグルミ堅果皮片・炭化植物遺体（0.6g））",0,"carbonized plant nut seed/nuts plant remains pericarp walnut (Juglans ailanthifolia)","walnut (Juglans ailanthifolia)","carbonized plant nut seed/nuts plant remains pericarp",""
"Charred Seed","種実（オニグルミ堅果皮片・炭化植物遺体（1.01g））",0,"carbonized plant nut seed/nuts plant remains pericarp walnut (Juglans ailanthifolia)","walnut (Juglans ailanthifolia)","carbonized plant nut seed/nuts plant remains pericarp",""
"Charred Seed","種実（オニグルミ堅果皮片・炭化植物遺体（1.07g））",0,"carbonized plant nut seed/nuts plant remains pericarp walnut (Juglans ailanthifolia)","walnut (Juglans ailanthifolia)","carbonized plant nut seed/nuts plant remains pericarp",""
"Charred Seed","種実（キビ塊片）",0,"seed/nuts common millet (Panicum miliaceum)","common millet (Panicum miliaceum)","seed/nuts",""
"Charred Seed","種実（クリ子葉）",0,"seed/nuts cotyledon chestnut (Castanea crenata)","chestnut (Castanea crenata)","seed/nuts cotyledon",""
"Charred Seed","種実（クルミ）",0,"seed/nuts walnut (Juglans)","walnut (Juglans)","seed/nuts",""
"Charred Seed","種実（クルミ殻）",0,"seed/nuts shell walnut (Juglans)","walnut (Juglans)","seed/nuts shell",""
"Charred Seed","種実（クルミ片）",0,"seed/nuts walnut (Juglans)","walnut (Juglans)","seed/nuts",""
"Charred Seed","種実（ブドウ属種子・炭化植物遺体（0.12g））",0,"carbonized plant seed seed/nuts plant remains grapes (Vitaceae)","grapes (Vitaceae)","carbonized plant seed seed/nuts plant remains",""
"Charred Seed","種実（不明種子・炭化植物遺体）",0,"unknown carbonized plant seed seed/nuts plant remains","","unknown carbonized plant seed seed/nuts plant remains",""
"Charred Seed","種実炭化物(チャンチンモドキ)",0,"carbonized seed/nuts material Napali hog plum (Choerospondias axillaris​)","Napali hog plum (Choerospondias axillaris​)","carbonized seed/nuts material","This species is not native to Japan according to descriptions. From Nepal but then it is in floras"
"Charred Seed","種実炭化物(ブナ科)",0,"carbonized seed/nuts material Fagaceae","Fagaceae","carbonized seed/nuts material",""
"Charred Seed","種実片(ムギ類)",0,"seed/nuts Cereale (Triticum, Hordeum, Secale, Avena)","Cereale (Triticum, Hordeum, Secale, Avena)","seed/nuts",""
"Charred Seed","種実遺体オニグルミ",0,"seed/nuts walnut (Juglans ailanthifolia)","walnut (Juglans ailanthifolia)","seed/nuts",""
"Charred Seed","草本炭化物(単子葉類)",1,"carbonized material monocotyledonous herbaceous plants","monocotyledonous herbaceous plants","carbonized material",""
"Charred Seed","草本炭化物(草本生単子葉類)",0,"carbonized material monocotyledonous herbaceous plants","monocotyledonous herbaceous plants","carbonized material",""
"Fish bone","アシカ骨 雄右尺骨",0,"Ashika (Otariinae)","eared seal (Otariidae)","right ulna","There's a recent paper (Reuther et al. 2020) on use of calibration curves for seals as of course they are getting carbon from both sources and the general impression was an offset from terrestial and marine curves (800 years and 400 years respectively) but marine was closer"
"Fish bone","アシカ骨 雌左脛骨",0,"Ashika (Otariinae)","eared seal (Otariidae)","left tibia",""
"Fish bone","イルカ脊椎骨",0,"dolphin /toothed whales (odontocetes) vertebra","dolphin /toothed whales (odontocetes)","vertebra",""
"Fish bone","クジラ類",0,"whale (Cetacea spp.)​","whale (Cetacea spp.)​","",""
"Fish bone","サメ椎体",0,"sharks (Selachimorpha) vertebra","sharks (Selachimorpha)","vertebra",""
"Fish bone","スズキ",0,"Japanese sea bass (Lateolabrax japonicus)","Japanese sea bass (Lateolabrax japonicus)","",""
"Fish bone","ヒラメ椎骨",0,"flounders (Pleuronectoidei: mainly Paralichthys sp.) vertebra","flounders (Pleuronectoidei: mainly Paralichthys sp.)","vertebra",""
"Fish bone","マイルカ 頭蓋骨",0,"dolphin /toothed whales (odontocetes) skull","dolphin /toothed whales (odontocetes)","skull",""
"Fish bone","マイルカ骨",0,"dolphin /toothed whales (odontocetes)","dolphin /toothed whales (odontocetes)","",""
"Fish bone","動物骨 クジラ目イルカ類? 肋骨",0,"animal indet. dolphin /toothed whales (odontocetes) whale (Cetacea spp.)​ rib","animal indet. dolphin /toothed whales (odontocetes) whale (Cetacea spp.)​","rib",""
"Fish bone","小型イルカ 椎骨",0,"dolphin /toothed whales (odontocetes) vertebra","dolphin /toothed whales (odontocetes)","vertebra",""
"Fish bone","板鰓類椎骨",0,"cartilaginous fish e.g. sharks etc (Elasmobranchii) vertebra","cartilaginous fish e.g. sharks etc (Elasmobranchii)","vertebra",""
"Fish bone","椎骨(マグロ)",0,"tuna (Thunnini) vertebra","tuna (Thunnini)","vertebra",""
"Fish bone","骨,アシカ,",0,"eared seal (Otariidae)","eared seal (Otariidae)","","アシカ Ashika=seals シカ shika=deer!!"
"Fish bone","骨,イルカ,椎骨",0,"dolphin /toothed whales (odontocetes) vertebra","dolphin /toothed whales (odontocetes)","vertebra",""
"Fish bone","骨,オットセイ,",0,"fur seal (Callorhinus ursinus)","fur seal (Callorhinus ursinus)","","オットセイ"
"Fish bone","骨,オットセイ,上腕骨R",0,"fur seal (Callorhinus ursinus) humerus","fur seal (Callorhinus ursinus)","humerus",""
"Fish bone","骨,オットセイ,大腿骨R",0,"fur seal (Callorhinus ursinus) femur","fur seal (Callorhinus ursinus)","femur",""
"Fish bone","骨,クジラ,",0,"whale (Cetacea spp.)​","whale (Cetacea spp.)​","",""
"Fish bone","骨,コイ類,第一椎骨",0,"carp (Cyprinidae) vertebra","carp (Cyprinidae)","vertebra",""
"Fish bone","骨,ジュゴン,",0,"seacows, dugong (Sirenia​ - Dugong dugon)","seacows, dugong (Sirenia​ - Dugong dugon)","",""
"Fish bone","骨,スズキ,右主鰓蓋骨",0,"Japanese sea bass (Lateolabrax japonicus) right gill bone","Japanese sea bass (Lateolabrax japonicus)","right gill bone",""
"Fish bone","骨,スズキ,左主鰓蓋骨",0,"Japanese sea bass (Lateolabrax japonicus) left gill bone","Japanese sea bass (Lateolabrax japonicus)","left gill bone",""
"Fish bone","骨,スズキ,歯骨R",0,"Japanese sea bass (Lateolabrax japonicus) tooth","Japanese sea bass (Lateolabrax japonicus)","tooth",""
"Fish bone","骨,タラ,",0,"cod (Gadidae)","cod (Gadidae)","",""
"Fish bone","骨,ブダイ,",0,"Japanese parrotfish (Calotomus japonicus)​","Japanese parrotfish (Calotomus japonicus)​","",""
"Fish bone","骨,魚骨,椎骨",0,"fish bone vertebra","fish bone","vertebra",""
"Fish bone","骨,魚骨,顎骨",0,"fish bone","fish bone","",""
"Fish bone","魚類(大型) 椎骨",0,"fish large vertebra","fish bone","vertebra",""
"Human Bone","コラーゲン(人骨)",0,"human bone collogen","human bone","collogen",""
"Human Bone","ヒトの歯",0,"human tooth","human","tooth",""
"Human Bone","ヒトの歯(上顎右第2乳臼歯)",0,"human right upper jaw molar tooth","human","right upper jaw molar tooth",""
"Human Bone","ヒト下顎骨",0,"human manidble","human","manidble",""
"Human Bone","ヒト右上顎第2大臼歯",0,"human right upper jaw molar tooth","human","right upper jaw molar tooth",""
"Human Bone","ヒト左下顎第3大臼歯",0,"human left molar tooth","human","left molar tooth",""
"Human Bone","ヒト腓骨",0,"human fibula","human","fibula",""
"Human Bone","ヒト遊離歯",0,"human tooth","human","tooth",""
"Human Bone","ヒト頭蓋骨",0,"human skull","human","skull",""
"Human Bone","ヒト頭骨側頭骨",0,"human skull temporal bone","human","skull temporal bone",""
"Human Bone","上腕骨",0,"human bone","human","humerus",""
"Human Bone","人骨",0,"human bone","human bone","",""
"Human Bone","人骨",0,"human bone","human bone","",""
"Human Bone","人骨 四肢骨片",0,"human bone limb bone bone fragment","human bone","limb bone bone fragment",""
"Human Bone","人骨 大腿骨片",0,"human bone femur bone fragment","human bone","femur bone fragment",""
"Human Bone","人骨 尺骨",0,"human bone ulna","human bone","ulna",""
"Human Bone","人骨 左上顎切歯歯根部",0,"human bone left upper jaw tooth","human bone","left upper jaw tooth",""
"Human Bone","人骨 左大腿骨",0,"human bone left femur","human bone","left femur",""
"Human Bone","人骨 臼歯",0,"human bone molar tooth","human bone","molar tooth",""
"Human Bone","人骨 頭骨片",0,"human bone skull bone fragment","human bone","skull bone fragment",""
"Human Bone","人骨 頸骨",0,"human bone cervical vertebra","human bone","cervical vertebra",""
"Human Bone","人骨 骨盤",0,"human bone pelvis","human bone","pelvis",""
"Human Bone","人骨(下腿骨)",0,"human bone tibia","human bone","tibia",""
"Human Bone","人骨（下顎歯破片）",0,"human bone tooth","human bone","tooth",""
"Human Bone","人骨(右大腿骨)",0,"human bone right femur","human bone","right femur",""
"Human Bone","人骨(四肢骨)",0,"human bone limb bone","human bone","limb bone",""
"Human Bone","人骨(四肢骨片）",0,"human bone limb bone bone fragment","human bone","limb bone bone fragment",""
"Human Bone","人骨(大腿骨)",0,"human bone femur","human bone","femur",""
"Human Bone","人骨（大腿骨片）",0,"human bone femur bone fragment","human bone","femur bone fragment",""
"Human Bone","人骨（左肋骨片）",0,"human bone left rib bone fragment","human bone","left rib bone fragment",""
"Human Bone","人骨（手の指、基節骨）",0,"human bone proximal phlange","human bone","proximal phlange",""
"Human Bone","人骨(椎骨)",0,"human bone vertebra","human bone","vertebra",""
"Human Bone","人骨(歯)",0,"human bone tooth","human bone","tooth",""
"Human Bone","人骨(焼骨) 肋骨",0,"human bone rib cremated","human bone","rib cremated",""
"Human Bone","人骨(肋骨･手骨)",0,"human bone rib","human bone","rib",""
"Human Bone","人骨(肋骨･椎骨)",0,"human bone rib vertebra","human bone","rib vertebra",""
"Human Bone","人骨(肋骨)",0,"human bone rib","human bone","rib",""
"Human Bone","人骨(長骨)",0,"human bone long bone","human bone","long bone",""
"Human Bone","人骨（頭蓋片、眼窩上部の破片）",0,"human bone skull fragments","human bone","skull fragments",""
"Human Bone","人骨(頭骨)",0,"human bone skull","human bone","skull",""
"Human Bone","人骨(骨片)",0,"human bone bone fragment","human bone","bone fragment",""
"Human Bone","人骨片(部位不明)",0,"human bone bone fragment","human bone","bone fragment",""
"Human Bone","右大腿骨",1,"right femur","human","right femur",""
"Human Bone","右腓骨",0,"right fibula","human","right fibula",""
"Human Bone","基節骨（手）",0,"proximal phlange","human","proximal phlange",""
"Human Bone","大腿骨",1,"femur","human","femur",""
"Human Bone","大腿骨片",0,"femur bone fragment","human","femur bone fragment",""
"Human Bone","尺骨",0,"ulna","human","ulna",""
"Human Bone","左上腕骨",1,"left humerus","human","left humerus",""
"Human Bone","左下顎M1歯",0,"left tooth","human","left tooth",""
"Human Bone","左側頭骨",0,"left skull","human","left skull",""
"Human Bone","橈骨",0,"radius","human","radius",""
"Human Bone","歯",0,"tooth","human","tooth",""
"Human Bone","歯(ヒト臼歯)",0,"human molar tooth","human","molar tooth",""
"Human Bone","炭化物(火葬人骨)",0,"human bone","human bone","",""
"Human Bone","焼骨 ヒト頭蓋骨",0,"human skull cremated","human","skull cremated",""
"Human Bone","肋骨",1,"rib","human","rib",""
"Human Bone","肩甲骨",0,"scapula","human","scapula",""
"Human Bone","脛骨",0,"tibia","human","tibia",""
"Human Bone","腓骨",0,"fibula","human","fibula",""
"Human Bone","踵骨",0,"calcaneus​","human","calcaneus​",""
"Human Bone","頭蓋骨",0,"skull","human","skull",""
"Human Bone","頭蓋骨片",0,"skull bone fragment","human","skull bone fragment",""
"Human Bone","頭頂骨",0,"Parietal bone","human","Parietal bone",""
"Human Bone","頭骨",0,"skull","human","skull",""
"Human Bone","頸椎",0,"cervical vertebra vertebra","human","cervical vertebra vertebra",""
"Human Bone","骨",1,"human bone","human","",""
"Human Bone","骨,ヒト,",0,"human","human","",""
"Human Bone","骨,ヒト,右中足骨2",0,"human right metatarsal","human","right metatarsal",""
"Human Bone","骨,ヒト,右中足骨3",0,"human right metatarsal","human","right metatarsal",""
"Human Bone","骨,ヒト,右中足骨4",0,"human right metatarsal","human","right metatarsal",""
"Human Bone","骨,ヒト,右中足骨5",0,"human right metatarsal","human","right metatarsal",""
"Human Bone","骨,ヒト,左脛骨中間部",0,"human left tibia","human","left tibia",""
"Human Bone","骨,ヒト,指骨",0,"human","human","",""
"Human Bone","骨,ヒト,肋骨",0,"human rib","human","rib",""
"Human Bone","骨,ヒト,肋骨左7",0,"human left rib","human","left rib",""
"Human Bone","骨,人骨・上腕",0,"human bone humerus","human bone","humerus",""
"Human Bone","骨,人骨,助骨,SK-3-♀",0,"human bone","human bone","",""
"Human Bone","骨,人骨,助骨,SK-30-♂",0,"human bone","human bone","",""
"Human Bone","骨,人骨,助骨,SK-84-♀",0,"human bone","human bone","",""
"Human Bone","骨(ヒト、脛骨?）",0,"human tibia","human","tibia",""
"Human Bone","骨(ヒト右下歯)",0,"human right tooth","human","right tooth",""
"Human Bone","骨(ヒト右大腿骨)",0,"human right femur","human","right femur",""
"Human Bone","骨(ヒト右脛骨)",0,"human right tibia","human","right tibia",""
"Human Bone","骨(ヒト左上腕骨)",0,"human left humerus","human","left humerus",""
"Human Bone","骨(ヒト歯)",0,"human tooth","human","tooth",""
"Human Bone","骨(ヒト肋骨破片)",0,"human rib","human","rib",""
"Human Bone","骨(ヒト部位不明破片)",0,"human","human","",""
"Human Bone","骨（ヒト頭蓋骨片）",0,"human skull bone fragment","human","skull bone fragment",""
"Human Bone","骨(ヒト頭蓋骨破片)",0,"human skull","human","skull",""
"Human Bone","骨(乳歯:下左)",0,"left tooth","human","left tooth",""
"Human Bone","骨(歯；上顎右)",0,"right upper jaw tooth","human","right upper jaw tooth",""
"Human Bone","骨(歯:上左)",0,"left tooth","human","left tooth",""
"Human Bone","骨(歯:下左)",0,"left tooth","human","left tooth",""
"Human Bone","骨(歯:下顎左)",0,"left tooth","human","left tooth",""
"Human Bone","骨(肋骨)",0,"rib","human","rib",""
"Human Bone","骨(長骨)",0,"long bone","human","long bone",""
"Human Bone","骨(頭蓋骨)",0,"skull","human","skull",""
"Human Bone","骨コラーゲン",0,"collogen","human","collogen",""
"Human Bone","骨片",1,"bone fragment","human","bone fragment",""
"Humic substances","フルボ酸",0,"Fulvic acid","","",""
"Humic substances","全腐植",0,"humus","","humus",""
"Humic substances","土壌 灰･炭(フミン)",0,"soil","","soil",""
"Humic substances","土壌 灰･炭(フミン酸)",0,"soil","","soil",""
"Humic substances","腐植",1,"humus","","humus",""
"Humic substances","腐植化した植物遺体",0,"plant plant remains humus","","plant plant remains humus",""
"Humic substances","腐植物",1,"plant humus","","plant humus",""
"Humic substances","腐植物片",0,"plant fragments humus","","plant fragments humus",""
"Humic substances","腐植酸",0,"humus","","humus",""
"Humic substances","腐植酸を抽出分離した残渣",0,"humus sample","","humus sample",""
"Humic substances","非加水分解性腐植",0,"humus","","humus",""
"Lacquer","ウルシ",0,"poison oak/ivy (Toxicodendron sp.)","poison oak/ivy (Toxicodendron sp.)","",""
"Lacquer","土器付着漆",0,"from pottery residue","","from pottery residue",""
"Lacquer","土器付着漆?",0,"from pottery residue","","from pottery residue",""
"Lacquer","土器付着漆膜",0,"from pottery residue","","from pottery residue",""
"Lacquer","土器付着物 漆",0,"from pottery residue","","from pottery residue",""
"Lacquer","土器付着物 漆?",0,"from pottery residue","","from pottery residue",""
"Lacquer","土器付着物(漆塗膜)",0,"from pottery residue","","from pottery residue",""
"Lacquer","塗膜",0,"Lacquer coating","","",""
"Lacquer","塗膜片",0,"Lacquer coating piece","","",""
"Lacquer","塗膜片(漆?)",0,"Lacquer coating piece","","",""
"Lacquer","木胎漆器",0,"Laquer on wood","","",""
"Lacquer","漆",0,"Lacquer coating","","",""
"Lacquer","漆,",0,"Lacquer coating","","",""
"Lacquer","漆,アスファルト？,底部内面",0,"interior bottom bitumen?","","interior bottom bitumen?",""
"Lacquer","漆,口縁内",0,"rim inside of","","rim inside of",""
"Lacquer","漆,塗膜,胴内",0,"inside fabric?","","inside fabric?",""
"Lacquer","漆,塗膜,胴外",0,"Lacquer, paint film, outside the body","","outside",""
"Lacquer","漆,底部内面",0,"interior bottom","","interior bottom",""
"Lacquer","漆,漆？,胴内",0,"inside fabric?","","inside fabric?",""
"Lacquer","漆,漆？,胴内全",0,"inside fabric?","","inside fabric?",""
"Lacquer","漆,漆？,胴外",0,"Lacquer coating on outside","","outside",""
"Lacquer","漆,漆片,",0,"Lacquer coating","","",""
"Lacquer","漆,漆片,胴内",0,"inside fabric?","","inside fabric?",""
"Lacquer","漆,漆片,胴外・胴内",0,"Lacquer coating on outside, inside fabric","","inside fabric? outside",""
"Lacquer","漆,漆膜,",0,"Lacquer coating","","",""
"Lacquer","漆,漆膜,口縁内",0,"rim inside of","","rim inside of",""
"Lacquer","漆,漆膜,口縁外・口縁内",0,"rim outside edge inside of","","rim outside edge inside of",""
"Lacquer","漆,漆膜,底部内面",0,"interior bottom","","interior bottom",""
"Lacquer","漆,漆膜,胴内",0,"inside fabric?","","inside fabric?",""
"Lacquer","漆,漆膜,胴外",0,"Lacquer coating on outside","","outside",""
"Lacquer","漆,生漆,口縁内",0,"rim inside of","","rim inside of",""
"Lacquer","漆,生漆,底部内面",0,"interior bottom","","interior bottom",""
"Lacquer","漆,生漆,胴内",0,"inside fabric?","","inside fabric?",""
"Lacquer","漆,胴下部",0,"lower","","lower",""
"Lacquer","漆,胴内",0,"inside fabric?","","inside fabric?",""
"Lacquer","漆,胴内・胴外",0,"Lacquer coating on outside, inside fabric","","inside fabric? outside",""
"Lacquer","漆,胴内，底部内面",0,"interior inside fabric? bottom","","interior inside fabric? bottom",""
"Lacquer","漆,胴内下",0,"inside fabric?","","inside fabric?",""
"Lacquer","漆,赤漆,口縁外・内",0,"rim outside edge","","rim outside edge",""
"Lacquer","漆,黒漆？,口縁外",0,"rim outside edge","","rim outside edge",""
"Lacquer","漆(木胎部)",0,"wooded reliquary","","",""
"Lacquer","漆の塊?",0,"Lacquer lump","","",""
"Lacquer","漆丸盆塗膜片",0,"Lacquer round tray coating piece","","",""
"Lacquer","漆器の塗膜",0,"Lacquer ware coating","","",""
"Lacquer","漆器塗膜",0,"Lacquer ware coating","","",""
"Lacquer","漆器椀塗膜",0,"Lacquer ware coating","","",""
"Lacquer","漆塊",0,"Lacquer block","","",""
"Lacquer","漆塗り土器の漆膜(赤褐色)",0,"from pottery","","from pottery",""
"Lacquer","漆塗椀片",0,"Lacquer film of lacquered earthenware (reddish brown)","","",""
"Lacquer","漆塗膜",0,"Lacquer coating","","",""
"Lacquer","漆塗膜片",0,"Lacquer coating","","",""
"Lacquer","漆塗膜片（No.6804小刀付着）",0,"residue","","residue",""
"Lacquer","漆椀",0,"Lacquered bowl","","",""
"Lacquer","漆椀塗膜片",0,"Lacquered bowl","","",""
"Lacquer","漆様炭化物(黒目うるし)",0,"carbonized material","","carbonized material",""
"Lacquer","漆樹液",0,"Lacquer coating","","",""
"Lacquer","漆液",0,"Lacquer coating","","",""
"Lacquer","漆漆？胴外",0,"Lacquer coating","","outside",""
"Lacquer","漆皮膜",0,"Lacquer coating on outside","","",""
"Lacquer","漆紐",0,"twine","","twine",""
"Lacquer","漆紙",0,"Lacquer paper","","",""
"Lacquer","漆紙文書",0,"Lacquer paper","","",""
"Lacquer","漆紙様資料",0,"Lacquer paper like material","","",""
"Lacquer","漆膜",0,"Lacquer coating","","",""
"Lacquer","漆膜片",0,"Lacquer coating","","",""
"Lacquer","漆膜片(漆)",0,"Lacquer coating","","",""
"Lacquer","生漆",0,"Lacquer","","",""
"Lacquer","生漆片",0,"Lacquer","","",""
"Lacquer","赤ウルシ",0,"poison oak/ivy (Toxicodendron sp.)","poison oak/ivy (Toxicodendron sp.)","",""
"Lacquer","陶器付着物(漆の可能性)",0,"residue","","residue",""
"Metal","その他,鉄,袋部",0,"iron bag - could this be mineralized preserved organics on an object?","","",""
"Metal","その他,鉄,袋部刃先近く",0,"iron near blade edge - again mineralized wood or organics maybe?","","",""
"Metal","鉄",0,"iron","","",""
"Metal","鉄塊",0,"iron lump","","",""
"Metal","鉄滓",0,"iron slag","","",""
"Metal","鉄製品",0,"iron lump","","",""
NA,"右大腿骨",1,"bone - right femur","","",""
NA,"右肋骨",0,"bone - right rib","","",""
NA,"右骨盤",0,"bone -right pelvis","","",""
NA,"土壌中炭化物",0,"carbonized soil material","","carbonized soil material",""
NA,"大腿骨",1,"bone - femur","","",""
NA,"左上腕骨",1,"bone - upper left carpal","","",""
NA,"左大腿骨",0,"bone - left femur","","",""
NA,"左肋骨",0,"bone - left rib","","",""
NA,"植物質遺物",0,"plant","","plant",""
NA,"植物遺体",1,"plant plant remains","","plant plant remains",""
NA,"炭化物･土壌",0,"carbonized soil material","","carbonized soil material",""
NA,"炭化物(炭化種実？)",0,"carbonized seed/nuts material","","carbonized seed/nuts material",""
NA,"炭化物(炭素量不足の為､周囲土壌を含めて測定)",0,"carbonized soil material","","carbonized soil material",""
NA,"種実",1,"seed/nuts","","seed/nuts",""
NA,"肋骨",1,"bone - rib","","",""
NA,"草本",1,"herbaceous plants","herbaceous plants","",""
NA,"骨",1,"bone","","",""
"Organic Residue from Pottery","トリベ付着物",0,"ladle deposits?","","residue",""
"Organic Residue from Pottery","土付き炭化物",0,"carbonized material with soil","with soil","carbonized material",""
"Organic Residue from Pottery","土器に付く炭化物",0,"carbonized from pottery material","","carbonized from pottery material",""
"Organic Residue from Pottery","土器に付着した炭化物",0,"carbonized from pottery material residue","","carbonized from pottery material residue",""
"Organic Residue from Pottery","土器付着スス",0,"from pottery soot residue","","from pottery soot residue",""
"Organic Residue from Pottery","土器付着炭化物",0,"carbonized from pottery material residue","","carbonized from pottery material residue",""
"Organic Residue from Pottery","土器付着炭化物 内面（おこげ）試料を採取した土器：個体番号No.2",0,"carbonized from pottery material interior residue sample okage","okage","carbonized from pottery material interior residue sample",""
"Organic Residue from Pottery","土器付着炭化物 炭質物",0,"carbonized from pottery material charcoal residue","","carbonized from pottery material charcoal residue",""
"Organic Residue from Pottery","土器付着炭化物（スス）",0,"carbonized from pottery material soot residue","","carbonized from pottery material soot residue",""
"Organic Residue from Pottery","土器付着炭化物（内外面）",0,"carbonized from pottery material exterior residue inside and outside","","carbonized from pottery material exterior residue inside and outside",""
"Organic Residue from Pottery","土器付着炭化物(内面)",0,"carbonized from pottery material interior residue","","carbonized from pottery material interior residue",""
"Organic Residue from Pottery","土器付着炭化物(内面底部)",0,"carbonized from pottery material interior residue bottom","","carbonized from pottery material interior residue bottom",""
"Organic Residue from Pottery","土器付着炭化物（口縁外）",0,"carbonized from pottery material rim outside edge residue","","carbonized from pottery material rim outside edge residue",""
"Organic Residue from Pottery","土器付着炭化物（口縁部内面）",0,"carbonized from pottery material rim interior residue","","carbonized from pottery material rim interior residue",""
"Organic Residue from Pottery","土器付着炭化物（口縁部外面）",0,"carbonized from pottery material rim exterior residue outer neck","","carbonized from pottery material rim exterior residue outer neck",""
"Organic Residue from Pottery","土器付着炭化物(吹きこぼれの可能性大)",0,"carbonized from pottery material residue","","carbonized from pottery material residue",""
"Organic Residue from Pottery","土器付着炭化物（外面 後期初頭）",0,"carbonized from pottery material exterior residue","","carbonized from pottery material exterior residue",""
"Organic Residue from Pottery","土器付着炭化物(外面)",0,"carbonized from pottery material exterior residue","","carbonized from pottery material exterior residue",""
"Organic Residue from Pottery","土器付着炭化物（底内）",0,"carbonized from pottery material residue in bottom","","carbonized from pottery material residue in bottom",""
"Organic Residue from Pottery","土器付着炭化物（底部付近外面）",0,"carbonized from pottery material exterior residue bottom","","carbonized from pottery material exterior residue bottom",""
"Organic Residue from Pottery","土器付着炭化物（底部内面）",0,"carbonized from pottery material interior residue bottom","","carbonized from pottery material interior residue bottom",""
"Organic Residue from Pottery","土器付着炭化物（復元No.遺10）",0,"carbonized from pottery material residue","","carbonized from pottery material residue",""
"Organic Residue from Pottery","土器付着炭化物（復元No.遺2）",0,"carbonized from pottery material residue","","carbonized from pottery material residue",""
"Organic Residue from Pottery","土器付着炭化物（復元No.遺5）",0,"carbonized from pottery material residue","","carbonized from pottery material residue",""
"Organic Residue from Pottery","土器付着炭化物（深鉢 口縁部外面）",0,"carbonized from pottery material rim exterior residue outer neck","","carbonized from pottery material rim exterior residue outer neck",""
"Organic Residue from Pottery","土器付着炭化物（深鉢 胴部外面）",0,"carbonized from pottery material exterior residue body outer neck","","carbonized from pottery material exterior residue body outer neck",""
"Organic Residue from Pottery","土器付着炭化物（深鉢・胴部内面）",0,"carbonized from pottery material interior residue body","","carbonized from pottery material interior residue body",""
"Organic Residue from Pottery","土器付着炭化物（深鉢・胴部外面）",0,"carbonized from pottery material exterior residue body outer neck","","carbonized from pottery material exterior residue body outer neck",""
"Organic Residue from Pottery","土器付着炭化物（深鉢口縁内）",0,"carbonized from pottery material rim residue inside of","","carbonized from pottery material rim residue inside of",""
