"Material_Classification","Material_Details_JPN","inconsistent","Materials_Details_EN","Materials_Detail_Identification_EN","Materials_Detail_Other_EN","Materials_Detail_Notes_EN"
"Animal Bone","骨(イヌ肋骨)",0,"dog (Canis lupus familiaris ) rib","dog (Canis lupus familiaris )","rib",""
"Animal Bone","骨(イヌ軸椎)",0,"dog (Canis lupus familiaris ) axis vertebra","dog (Canis lupus familiaris )","axis vertebra",""
"Animal Bone","骨(イノシシ)",0,"wild boar (Sus scrofa)","wild boar (Sus scrofa)","",""
"Animal Bone","骨(ウシ)",0,"cattle (Bos taurus)","cattle (Bos taurus)","",""
"Animal Bone","骨(ウシ右下顎骨)",0,"cattle (Bos taurus) right manidble","cattle (Bos taurus)","right manidble",""
"Animal Bone","骨(ウシ右中足骨)",0,"cattle (Bos taurus) right metatarsal","cattle (Bos taurus)","right metatarsal",""
"Animal Bone","骨(ウシ右肩甲骨)",0,"cattle (Bos taurus) right scapula","cattle (Bos taurus)","right scapula",""
"Animal Bone","骨(ウシ左上腕骨)",0,"cattle (Bos taurus) left humerus","cattle (Bos taurus)","left humerus",""
"Animal Bone","骨(ウシ左下顎骨)",0,"cattle (Bos taurus) left manidble","cattle (Bos taurus)","left manidble",""
"Animal Bone","骨(ウシ左肩甲骨)",0,"cattle (Bos taurus) left scapula","cattle (Bos taurus)","left scapula",""
"Animal Bone","骨(ウマ)",0,"horse (Equus ferus)","horse (Equus ferus)","",""
"Animal Bone","骨(ウマ仙椎)",0,"horse (Equus ferus) sacral vertebra","horse (Equus ferus)","sacral vertebra",""
"Animal Bone","骨(ウマ右下顎骨)",0,"horse (Equus ferus) right manidble","horse (Equus ferus)","right manidble",""
"Animal Bone","骨(ウマ右肩甲骨",0,"horse (Equus ferus) right scapula","horse (Equus ferus)","right scapula",""
"Animal Bone","骨(ウマ右脛骨)",0,"horse (Equus ferus) right tibia","horse (Equus ferus)","right tibia",""
"Animal Bone","骨(ウマ右距骨)",0,"horse (Equus ferus) right","horse (Equus ferus)","right",""
"Animal Bone","骨(ウマ左中手骨)",0,"horse (Equus ferus) left phlanges","horse (Equus ferus)","left phlanges",""
"Animal Bone","骨(ウマ左橈骨)",0,"horse (Equus ferus) left radius","horse (Equus ferus)","left radius",""
"Animal Bone","骨(ウマ左肩甲骨)",0,"horse (Equus ferus) left scapula","horse (Equus ferus)","left scapula",""
"Animal Bone","骨(ウマ左距骨)",0,"horse (Equus ferus) left","horse (Equus ferus)","left",""
"Animal Bone","骨(コラーゲン)(牛)",0,"cattle (Bos taurus) collogen","cattle (Bos taurus)","collogen",""
"Animal Bone","骨(コラーゲン)(馬歯)",0,"horse (Equus ferus) tooth collogen","horse (Equus ferus)","tooth collogen",""
"Animal Bone","骨(シカ？)",0,"deer (Cervidae)","deer (Cervidae)","",""
"Animal Bone","骨(シカ)",0,"deer (Cervidae)","deer (Cervidae)","",""
"Animal Bone","骨（シカ右上顎後臼歯）",0,"deer (Cervidae) right upper jaw molar tooth","deer (Cervidae)","right upper jaw molar tooth",""
"Animal Bone","骨(シカ右下顎後臼歯)",0,"deer (Cervidae) right molar tooth","deer (Cervidae)","right molar tooth",""
"Animal Bone","骨（シカ右下顎骨）",0,"deer (Cervidae) right manidble","deer (Cervidae)","right manidble",""
"Animal Bone","骨（シカ右前頭骨～角）",0,"deer (Cervidae) right skull frontal cranium antler/horn","deer (Cervidae)","right skull frontal cranium antler/horn",""
"Animal Bone","骨(シカ右肩甲骨)",0,"deer (Cervidae) right scapula","deer (Cervidae)","right scapula",""
"Animal Bone","骨(シカ左下顎骨)",0,"deer (Cervidae) left manidble","deer (Cervidae)","left manidble",""
"Animal Bone","骨（シカ左下顎骨）",0,"deer (Cervidae) left manidble","deer (Cervidae)","left manidble",""
"Animal Bone","骨(シカ左肩甲骨)",0,"deer (Cervidae) left scapula","deer (Cervidae)","left scapula",""
"Animal Bone","骨（シカ左脛骨遠位端)",0,"deer (Cervidae) left tibia","deer (Cervidae)","left tibia",""
"Animal Bone","骨(シカ左距骨)",0,"deer (Cervidae) left","deer (Cervidae)","left",""
"Animal Bone","骨(ニホンジカ)",0,"sika deer (Cervus nippon)","sika deer (Cervus nippon)","",""
"Animal Bone","骨(ネコ左上腕骨)",0,"cat (Felis, Prionailurus) left humerus","cat (Felis, Prionailurus)","left humerus",""
"Animal Bone","骨(ネコ左下顎骨)",0,"cat (Felis, Prionailurus) left manidble","cat (Felis, Prionailurus)","left manidble",""
"Animal Bone","骨（ヒグマ）頸骨",0,"brown bear (Ursus arctos) cervical vertebra","brown bear (Ursus arctos)","cervical vertebra","Ursus thibetanus japonicus is the Japanese black bear - Ursus arctos lasiotus is the Japanese brown bear or Ezo bear restricted to Hokkaido and Kunashiri"
"Animal Bone","骨(歯) ウマ 歯牙片",0,"horse (Equus ferus) tooth","horse (Equus ferus)","tooth",""
"Animal Bone","骨片",1,"bone fragment","","bone fragment",""
"Animal Bone","骨片(動物骨)",0,"animal indet. bone fragment","animal indet.","bone fragment",""
"Charred Remain","トクサ",0,"Horsetail (Equisetum sp.)","Horsetail (Equisetum sp.)","",""
"Charred Remain","ワラ状炭化物",0,"carbonized straw material","","carbonized straw material",""
"Charred Remain","亜炭？",0,"Lignite?","","Lignite?",""
"Charred Remain","住居内採取炭化物 炭化材（クリ）",0,"carbonized material material chestnut (Castanea crenata)","chestnut (Castanea crenata)","carbonized material material",""
"Charred Remain","単子葉植物(イネ科)",0,"plant monocotyledonous Poaceae","monocotyledonous Poaceae","plant",""
"Charred Remain","単子葉植物茎",0,"plant stem monocotyledonous","monocotyledonous","plant stem",""
"Charred Remain","土壌(炭化物混じりの粘土)･炭化材(スダジイ)",0,"Clay soil with charcoal / Charred Castanopis sieboldi","Itajii tree (Castanopis sieboldi)","carbonized material soil material clay",""
"Charred Remain","土混じり木炭片",0,"Soil mixed with charcoal fragments","","charcoal charred pieces",""
"Charred Remain","地下茎(クワイ)",0,"rhizome stem three-leaf arrowhead (Sagittaria trifolia)","three-leaf arrowhead (Sagittaria trifolia)","rhizome stem",""
"Charred Remain","木本炭化物",0,"Wood charcoal?","","carbonized material woody",""
"Charred Remain","木材",1,"material wood","","material wood",""
"Charred Remain","木材(クスノキ)",1,"material wood camphor tree (Cinnamomum camphora)","camphor tree (Cinnamomum camphora)","material wood",""
"Charred Remain","木材(コナラ属アカガシ亜属)",1,"material wood oak (Quercus sp.) Japanese evergreen oak (Quercus acuta)","oak (Quercus sp.) Japanese evergreen oak (Quercus acuta)","material wood",""
"Charred Remain","木材(スダジイ)",1,"material wood Itajii tree (Castanopis sieboldi)","Itajii tree (Castanopis sieboldi)","material wood",""
"Charred Remain","木材(ヤブニッケイ)",1,"material wood Japanese cinnamon (Cinnamomum yabunikkei syn. pedunculatum)","Japanese cinnamon (Cinnamomum yabunikkei syn. pedunculatum)","material wood",""
"Charred Remain","木炭",0,"charcoal","","charcoal",""
"Charred Remain","木炭・木片",0,"charcoal wood frag","","charcoal wood frag",""
"Charred Remain","木炭・炭化物",0,"charcoal carbonized material","","charcoal carbonized material",""
"Charred Remain","木炭(アサダ)",0,"charcoal East Asian hornbeam (Ostrya japonica)","East Asian hornbeam (Ostrya japonica)","charcoal",""
"Charred Remain","木炭(アスナロ属)",0,"charcoal hatchet-leaved arbor-vitae (Thujopsis dolabrata)","hatchet-leaved arbor-vitae (Thujopsis dolabrata)","charcoal","Is this a wider wood identification group or Thujopsis dolabrata as there is only one species ヒノキ科"
"Charred Remain","木炭(エノキ属)",0,"charcoal hackberry (Celtis sp.)","hackberry (Celtis sp.)","charcoal","Celtis jessoensis/sinensis? Or is there more than two species"
"Charred Remain","木炭(カバノキ属)",0,"charcoal birch (Betula sp.)","birch (Betula sp.)","charcoal","At least three species of birch B. ermanii; B. grossa; B. platyphylla"
"Charred Remain","木炭(クヌギ節)",0,"charcoal saw-tooth oak (Quercus acutissima)","saw-tooth oak (Quercus acutissima)","charcoal",""
"Charred Remain","木炭(クリ、ハリギリ)",0,"charcoal chestnut (Castanea crenata) castor aralia (Kalopanax septemlobus)","chestnut (Castanea crenata) castor aralia (Kalopanax septemlobus)","charcoal","Kuri, harigiri"
"Charred Remain","木炭(クリ)",0,"charcoal chestnut (Castanea crenata)","chestnut (Castanea crenata)","charcoal","シイ= chinquapin / Castanopsis"
"Charred Remain","木炭(クリ属)",0,"charcoal chestnut (Castanea crenata)","chestnut (Castanea crenata)","charcoal",""
"Charred Remain","木炭(コナラ亜属クヌギ節)",0,"charcoal saw-tooth oak (Quercus acutissima) oak (Quercus sp.) / ?Jolcham Oak (Quercus serrata)","saw-tooth oak (Quercus acutissima) oak (Quercus sp.) / ?Jolcham Oak (Quercus serrata)","charcoal","I am unsure with these whether it is Quercus or Quercus serrata"
"Charred Remain","木炭(コナラ亜属コナラ節)",0,"charcoal Jolcham oak (Quercus serrata)","Jolcham oak (Quercus serrata)","charcoal",""
"Charred Remain","木炭（コナラ亜属コナラ節）",0,"charcoal Jolcham oak (Quercus serrata)","Jolcham oak (Quercus serrata)","charcoal",""
"Charred Remain","木炭(コナラ属?）",0,"charcoal oak (Quercus sp.)","oak (Quercus sp.)","charcoal",""
"Charred Remain","木炭(コナラ属クヌギ節)",0,"charcoal oak (Quercus sp.) saw-tooth oak (Quercus acutissima)","oak (Quercus sp.) saw-tooth oak (Quercus acutissima)","charcoal",""
"Charred Remain","木炭(コナラ属コナラ亜属クヌギ節)",0,"charcoal oak (Quercus sp.) saw-tooth oak (Quercus acutissima)","oak (Quercus sp.) saw-tooth oak (Quercus acutissima)","charcoal",""
"Charred Remain","木炭(コナラ属コナラ亜属コナラ節)",0,"charcoal oak (Quercus sp.) Jolcham oak (Quercus serrata)","oak (Quercus sp.) Jolcham oak (Quercus serrata)","charcoal",""
"Charred Remain","木炭(シキミ)",0,"charcoal Japanese star anise (Illicum religiosum)","Japanese star anise (Illicum religiosum)","charcoal",""
"Charred Remain","木炭(ススキ属･タケ亜科)",0,"charcoal silvergrass (Miscanthus sp.) bamboo (Bambusoideae)","silvergrass (Miscanthus sp.) bamboo (Bambusoideae)","charcoal",""
"Charred Remain","木炭（トネリコ属）",0,"charcoal Ash (Fraxinus sp.)","Ash (Fraxinus sp.)","charcoal",""
"Charred Remain","木炭(トネリコ属シオジ節)",0,"charcoal Ash (Fraxinus sp.) Ash (Fraxinus platypoda)","Ash (Fraxinus sp.) Ash (Fraxinus platypoda)","charcoal",""
"Charred Remain","木炭(バラ科ナシ亜科)",0,"charcoal Rosaceae Pear (Pyrus)=Maleae subfamily","Rosaceae Pear (Pyrus)=Maleae subfamily","charcoal",""
"Charred Remain","木炭(ハリギリ)",0,"charcoal castor aralia (Kalopanax septemlobus)","castor aralia (Kalopanax septemlobus)","charcoal",""
"Charred Remain","木炭(ヒノキ属)",0,"charcoal cypress (Chamaecyparis sp.)","cypress (Chamaecyparis sp.)","charcoal",""
"Charred Remain","木炭(ブナ属)",0,"charcoal beech (Fagus sp.)","beech (Fagus sp.)","charcoal",""
"Charred Remain","木炭(モクレン属、クリ属)",0,"charcoal chestnut (Castanea crenata) magnolia (Magnolia sp.)","chestnut (Castanea crenata) magnolia (Magnolia sp.)","charcoal",""
"Charred Remain","木炭(モクレン属)",0,"charcoal magnolia (Magnolia sp.)","magnolia (Magnolia sp.)","charcoal",""
"Charred Remain","木炭（土器内部の土から検出）",0,"charcoal inside pottery","","charcoal from pottery",""
"Charred Remain","木炭（炭化材）",0,"charcoal carbonized material","","charcoal carbonized material",""
"Charred Remain","木炭(針葉樹, ツガまたはモミ)",0,"charcoal Coniferae tsuga (Tsuga sieboldii) fir (Abies sp.)","Coniferae tsuga (Tsuga sieboldii) fir (Abies sp.)","charcoal",""
"Charred Remain","木炭片",0,"charcoal charred pieces","","charcoal charred pieces",""
"Charred Remain","木炭粒",0,"charcoal grain","","charcoal grain",""
"Charred Remain","木片(クスノキ)",1,"wood frag camphor tree (Cinnamomum camphora)","camphor tree (Cinnamomum camphora)","wood frag",""
"Charred Remain","木片(ヒノキ属類似）",0,"wood frag cypress (Chamaecyparis sp.)","cypress (Chamaecyparis sp.)","wood frag",""
"Charred Remain","植物片(炭化物)",0,"carbonized plant fragments material","","carbonized plant fragments material",""
"Charred Remain","炭",1,"charcoal","","",""
"Charred Remain","炭(№19)",0,"charcoal","","",""
"Charred Remain","炭(エノキ属)",0,"hackberry (Celtis sp.)","hackberry (Celtis sp.)","",""
"Charred Remain","炭(コナラ属コナラ亜属クヌギ節)",0,"oak (Quercus sp.) saw-tooth oak (Quercus acutissima)","oak (Quercus sp.) saw-tooth oak (Quercus acutissima)","",""
"Charred Remain","炭化クルミ材",0,"carbonized material walnut (Juglans)","walnut (Juglans)","carbonized material",""
"Charred Remain","炭化したスダレ状植物製品",0,"carbonized plant","","carbonized plant","? Bamboo like"
"Charred Remain","炭化丸木材(クヌギ・コナラ)",0,"carbonized material wood log/trunk saw-tooth oak (Quercus acutissima) oak (Quercus sp.) / ?Jolcham Oak (Quercus serrata)","saw-tooth oak (Quercus acutissima) oak (Quercus sp.) / ?Jolcham Oak (Quercus serrata)","carbonized material wood log/trunk",""
"Charred Remain","炭化小枝",0,"carbonized twig branch","","carbonized twig branch",""
"Charred Remain","炭化広葉樹樹皮",0,"carbonized bark hardwood","","carbonized bark hardwood",""
