"Period","PeriodEN"
"縄文時代中期後半〜末","Middle Jomon [Second Half - Final]"
"弥生時代中期頃","Middle Yayoi [ca.]"
"縄文時代晩期か平安時代","Final Jomon or Heian"
"不明(弥生後期?)","NA (after Late Yayoi?) "
"江戸時代後期","Late Edo"
"縄文時代後期前葉かそれ以降","Late Jomon [Early] or later "
"弥生時代前期かそれ以降","Early Yayoi or After"
"縄文時代早期中葉","Initial Jomon [Middle]"
"縄文時代後期末〜弥生時代","Late Jomon [Final] - Yayoi"
"縄文時代前期初頭?","Early Jomon [Initial]?"
"奈良時代後半〜平安時代初頭","Nara [Second Half] - Heian [Initial]"
"縄文時代後期頃","Late Jomon [ca.]"
"縄文時代中期後葉以降","After Middle Jomon [Late]"
"縄文時代中期後葉〜末葉","Middle Jomon [Late - Final]"
"To-a火山灰","To-a Tephra "
"縄文時代?","Jomon?"
"10世紀前半より前","Before Early 10th Century"
"10世紀前葉以前","Before Early 10th Century"
"9世紀後半","Late 9th Century"
"白頭山火山灰降下直前に廃絶","Immidiately before Paektu-Zan Tephra "
"10世紀初頭以前","Before Initial 10th Century "
"白頭山火山灰降下以前に廃絶","Before Paektu-Zan Tephra "
"縄文時代中期中葉〜後期前葉","Middle Jomon [Middle] - Late Jomon [Early]"
"縄文時代中期末葉〜後期","Middle Jomon [Final] - Late Jomon"
"縄文時代中期末葉以降","After Middle Jomon [Final]"
"縄文時代中期前葉〜中葉","Middle Jomon [Early - Middle]"
"縄文時代中期中葉〜末葉","Middle Jomon [Middle - Final]"
"To-a火山灰降下以前","Below To-a Tephra"
"縄文時代中期前葉","Middle Jomon [Early]"
"縄文時代中期初頭から中葉","Middle Jomon [Initial - Middle]"
"縄文時代前期中葉〜中期初頭","Early Jomon [Middle] - Middle Jomon [Initial]"
"縄文時代中期中葉以降?","After Middle Jomon [Middle]? "
"縄文時代中期中葉?","Middle Jomon [Middle]? "
"縄文時代中期中葉以前","Before Middle Jomon [Middle]"
"縄文時代前期末〜中期中葉","Early Jomon [Final] - Middle Jomon [Middle]"
"縄文時代前期末","Early Jomon [Final]"
"縄文時代前期末葉以前","Before Early Jomon [Final]"
"To-a火山灰(950年前後)に覆われる","Below To-a Tephra"
"中世頃","Medieval [ca.]"
"縄文時代前期末〜中期初頭","Early Jomon [Final] - Middle Jomon [Initial]"
"縄文時代前期末葉〜後期初頭","Early Jomon [Final] - Late Jomon [Initial]"
"縄文時代前期末葉〜中期初頭","Early Jomon [Final] - Middle Jomon [Initial]"
"縄文時代中期末葉〜後期前半より新しい","Newer than Middle Jomon [Final] -  Late Jomon [Early]"
"縄文時代中期末葉〜後期前葉以前","Before Middle Jomon [Final] - Late Jomon [Early] "
"中世(縄文時代晩期以降)","Medieval (after Final Jomon)"
"中世(14〜15世紀)","Medieval (14th to 15th Century)"
"続縄文","Epi-Jomon"
"新寛永以降","After Shinkanei"
"古寛永以降","After Kokanei"
"戦国時代","Sengoku   "
"平安時代〜中世","Heian - Medieval"
"縄文時代〜弥生時代","Jomon - Yayoi"
"縄文時代晩期後葉〜弥生時代前期","Final Jomon [Late] - Early Yayoi"
"縄文時代晩期中葉〜後葉","Final Jomon [Middle - Late] "
"縄文時代晩期前葉〜中葉","Final Jomon [Early - Middle]"
"縄文時代前期後葉以降","After Early Jomon [Late] "
"縄文時代前期後葉〜末葉","Early Jomon [Late - Final] "
"縄文時代中期後葉〜後期前葉","Middle Jomon [Late] - Late Jomon [Early]"
"縄文時代晩期後半","Final Jomon [Second Half] "
"縄文時代後期〜晩期初頭","Late Jomon - Final Jomon [Initial]"
"縄文時代前期中葉以前","Before Early Jomon [Middle]"
"縄文時代中期中葉〜晩期初頭","Middle Jomon [Middle] - Final Jomon [Initial]"
"B-Tm･To-a自然堆積","B-Tm Tephra To-a Tephra Natural Sedimentation "
"南部浮石混入","Mixture of Nambu Fuseki"
"縄文時代晩期末葉","Final Jomon [Final]"
"縄文時代中期末葉頃","Middle Jomon [Final ca.]"
"To-a","To-a Tephra"
"古代から中世","Classical - Early Modern"
"縄文時代後期後半〜晩期前葉","Late Jomon [Second Half] - Final Jomon [Early]"
"白頭山火山灰降下後","After Paektu-Zan Tephra "
"To-a火山灰降下以後","Above To-a Tephra"
"縄文時代晩期以降","After Final Jomon"
"古代〜中世","Classical - Medieval"
"平安時代以後","After Heian"
"縄文時代中期後葉以前","Before Middle Jomon [Late]"
"十和田a火山灰降下以前","Before Towada a Tephra "
"白頭山火山灰降下以降","After Paektu-Zan Tephra "
"鎌倉時代以降","After Kamakura"
"縄文時代後期前様","Late Jomon [Early]"
"B-Tm降下前","Below B-Tm Tephra"
"明治時代以前","Before Meiji"
"To-a火山灰又はB-Tm火山灰層上面","To-a Tephra or above B-Tm Tephra"
"江戸時代以降","After Edo"
"南部浮石層","Nambu Fuseki Layer"
"縄文時代中期後半〜後期初頭","Middle Jomon [Second Half] - Late Jomon [Initial]"
"江戸時代〜明治時代","Edo-Meiji"
"縄文時代前期末頃","Early Jomon [Final ca.]"
"八戸火山灰","Hachinohe Tephra "
"縄文時代前期末〜中期末","Early Jomon [Final] - Middle Jomon [Final]"
"中世後期","Medieval [Late]"
"平安時代後期","Heian [Late] "
"縄文時代中期末葉以前","Before Middle Jomon [Final]"
"縄文時代中期後半〜末葉","Middle Jomon [Second Half - Final]"
"縄文時代中期後葉〜後期初頭","Middle Jomon [Late] - Late Jomon [Initial]"
"平安時代中期","Heian [Middle]"
"縄文時代晩期前〜中葉","Final Jomon [Early]"
"縄文時代後期〜晩期にはすでに埋没","Already buried Late Jomon - Final Jomon "
"平安〜中世","Heian - Medieval"
"近現代以降","After Modern/Present "
"縄文時代晩期初頭〜前様","Final Jomon [Initial - Early]"
"縄文時代晩期前葉〜中期","Final Jomon [Early - Middle]"
"B-tmテフラ","B-Tm Tephra"
"中世？","Medieval?"
"縄文時代早期中葉〜後葉","Initial Jomon [Middle - Late]"
"縄文時代早期前葉〜中葉","Initial Jomon [Early - Middle]"
"縄文時代晩期中〜後葉","Final Jomon [Middle - Late]"
"縄文時代後期前葉〜後葉","Late Jomon [Early - Late]"
"中世初頭","Medieval [Initial]"
"八戸火山灰直下の砂丘堆積層下","Under [      ] immediately before Hachinohe Tephra "
"古墳時代中葉","Kofun [Middle]"
"中世?平安時代?","Medieval?/Heian"
"縄文時代後期〜前期","Late Jomon - Early Jomon"
"縄文時代晩期〜弥生時代前期","Final Jomon - Early Yayoi"
"縄文時代後期初頭〜前様","Late Jomon [Initial - Early]"
"縄文時代中期末〜後期前葉","Middle Jomon [Final] - Late Jomon [Early]"
"中世末期〜近世初頭","Medieval [Final] - Early Modern [Initial]"
"中世後半","Medieval [Second Half]"
"近世前半","Early Modern [First Half]"
"古代末〜中世頃","Classical [Final] -  Medieval [ca.] "
"弥生時代初頭","Yayoi [Initial]"
"近世〜近代","Early Modern - Modern"
"縄文時代晩期頃〜弥生時代","Final Jomon [ca.] - Yayoi"
"縄文時代後期中葉〜後葉","Late Jomon [Middle - Late]"
"中世末頃","Medieval [ca. Final] "
"縄文時代早期末〜前期初頭","Initial Jomon [Final] - Early Jomon [Initial]"
"縄文時代早期末〜前期最初期","Initial Jomon [Final] - Early Jomon [Initial]"
"縄文時代中期後〜末葉","Middle Jomon [Late - Final]"
"弥生時代前期〜古代","Early Yayoi - Classical"
"縄文時代前期後〜末葉","Early Jomon [Late - Final]"
"縄文時代晩期中葉以降","After Final Jomon [Middle] "
"近世〜明治","Early Modern - Meiji"
"平安時代or中近世","Heian or Medieval/Early Modern"
"縄文時代中期前〜中葉","Middle Jomon [Early - Middle]"
"縄文時代早期末〜前期前葉","Initial Jomon [Final] - Early Jomon [Early]"
"To-cu火山灰下層","Below To-Cu Tephra "
"縄文時代後期後半?","Late Jomon [Second Half]?"
"縄文時代中期中葉以降","After Middle Jomon [Middle]"
"古代〜江戸時代頃","Classical - Edo [ca.]"
"江戸時代?古代?","Edo? Classical?"
"奈良〜平安時代","Nara - Heian"
"奈良時代〜平安時代(初頭)","Nara - Heian [Initial]"
"縄文時代晩期末〜弥生時代前期","Final Jomon [Final] - Early Yayoi"
"古代末〜中世","Classical [Final] - Medieval"
"弥生時代?","Yayoi?"
"縄文時代晩期後葉〜弥生時代中期","Final Jomon [Late] - Middle Yayoi"
