"MaterialTypeUniqueID","Material_Classification","Material_Details_JPN","Material_Details_EN","inconsistent"
1193,"Charred Remain","木材(ヤブニッケイ)",NA,TRUE
1236,"Charred Remain","木炭",NA,FALSE
1237,"Charred Remain","木炭・木片",NA,FALSE
1238,"Charred Remain","木炭・炭化物",NA,FALSE
1239,"Charred Remain","木炭(アサダ)",NA,FALSE
1240,"Charred Remain","木炭(アスナロ属)",NA,FALSE
1241,"Charred Remain","木炭(エノキ属)",NA,FALSE
1242,"Charred Remain","木炭(カバノキ属)",NA,FALSE
1243,"Charred Remain","木炭(クヌギ節)",NA,FALSE
1244,"Charred Remain","木炭(クリ、ハリギリ)",NA,FALSE
1245,"Charred Remain","木炭(クリ)",NA,FALSE
1246,"Charred Remain","木炭(クリ属)",NA,FALSE
1247,"Charred Remain","木炭(コナラ亜属クヌギ節)",NA,FALSE
1248,"Charred Remain","木炭(コナラ亜属コナラ節)",NA,FALSE
1249,"Charred Remain","木炭（コナラ亜属コナラ節）",NA,FALSE
1250,"Charred Remain","木炭(コナラ属?）",NA,FALSE
1251,"Charred Remain","木炭(コナラ属クヌギ節)",NA,FALSE
1252,"Charred Remain","木炭(コナラ属コナラ亜属クヌギ節)",NA,FALSE
1253,"Charred Remain","木炭(コナラ属コナラ亜属コナラ節)",NA,FALSE
1254,"Charred Remain","木炭(シキミ)",NA,FALSE
1255,"Charred Remain","木炭(ススキ属･タケ亜科)",NA,FALSE
1256,"Charred Remain","木炭（トネリコ属）",NA,FALSE
1257,"Charred Remain","木炭(トネリコ属シオジ節)",NA,FALSE
1258,"Charred Remain","木炭(バラ科ナシ亜科)",NA,FALSE
1259,"Charred Remain","木炭(ハリギリ)",NA,FALSE
1260,"Charred Remain","木炭(ヒノキ属)",NA,FALSE
1261,"Charred Remain","木炭(ブナ属)",NA,FALSE
1262,"Charred Remain","木炭(モクレン属、クリ属)",NA,FALSE
1263,"Charred Remain","木炭(モクレン属)",NA,FALSE
1264,"Charred Remain","木炭（土器内部の土から検出）",NA,FALSE
1266,"Charred Remain","木炭（炭化材）",NA,FALSE
1267,"Charred Remain","木炭(針葉樹, ツガまたはモミ)",NA,FALSE
1268,"Charred Remain","木炭片",NA,FALSE
1269,"Charred Remain","木炭粒",NA,FALSE
1287,"Charred Remain","木片(クスノキ)",NA,TRUE
1322,"Charred Remain","木片(ヒノキ属類似）",NA,FALSE
1439,"Charred Remain","植物片(炭化物)",NA,FALSE
1581,"Charred Remain","炭",NA,TRUE
1582,"Charred Remain","炭(№19)",NA,FALSE
1583,"Charred Remain","炭(エノキ属)",NA,FALSE
1584,"Charred Remain","炭(コナラ属コナラ亜属クヌギ節)",NA,FALSE
1595,"Charred Remain","炭化クルミ材",NA,FALSE
1599,"Charred Remain","炭化したスダレ状植物製品",NA,FALSE
1604,"Charred Remain","炭化丸木材(クヌギ・コナラ)",NA,FALSE
1612,"Charred Remain","炭化小枝",NA,FALSE
1613,"Charred Remain","炭化広葉樹樹皮",NA,FALSE
1614,"Charred Remain","炭化建材？",NA,FALSE
1615,"Charred Remain","炭化建材（消失材）",NA,FALSE
1616,"Charred Remain","炭化木",NA,FALSE
1617,"Charred Remain","炭化木(ブナ？)",NA,FALSE
1618,"Charred Remain","炭化木(マツ)",NA,FALSE
1619,"Charred Remain","炭化木片",NA,FALSE
1620,"Charred Remain","炭化木片（カラマツ属）",NA,FALSE
1621,"Charred Remain","炭化木片など",NA,FALSE
1622,"Charred Remain","炭化木細粒",NA,FALSE
1623,"Charred Remain","炭化材",NA,FALSE
1624,"Charred Remain","炭化材 (コナラ属コナラ亜属クヌギ節)",NA,FALSE
1625,"Charred Remain","炭化材 (スギ)",NA,FALSE
1626,"Charred Remain","炭化材 (ツブラジイ)",NA,FALSE
1627,"Charred Remain","炭化材 (ミズキ)",NA,FALSE
1628,"Charred Remain","炭化材 コナラ亜属コナラ節 エゴノキ属",NA,FALSE
1629,"Charred Remain","炭化材 スノコ状？",NA,FALSE
1630,"Charred Remain","炭化材 土器内面付着",NA,FALSE
1631,"Charred Remain","炭化材 土留め板？",NA,FALSE
1632,"Charred Remain","炭化材 樹皮",NA,FALSE
1634,"Charred Remain","炭化材,",NA,FALSE
1635,"Charred Remain","炭化材,アカガシ亜種,",NA,FALSE
1636,"Charred Remain","炭化材,カエデ属,",NA,FALSE
1637,"Charred Remain","炭化材,クヌギ属?,",NA,FALSE
1638,"Charred Remain","炭化材,クヌギ節,",NA,FALSE
1639,"Charred Remain","炭化材,クリ,",NA,FALSE
1640,"Charred Remain","炭化材,クリ,11年目",NA,FALSE
1641,"Charred Remain","炭化材,クリ,21年目",NA,FALSE
1642,"Charred Remain","炭化材,クリ,31年目",NA,FALSE
1643,"Charred Remain","炭化材,クリ,最外",NA,FALSE
1644,"Charred Remain","炭化材,クリ?,",NA,FALSE
1645,"Charred Remain","炭化材,クリ?,部位不明",NA,FALSE
1646,"Charred Remain","炭化材,コナラ属,",NA,FALSE
1647,"Charred Remain","炭化材,コナラ属コナラ亜属コナラ節,",NA,FALSE
1648,"Charred Remain","炭化材,タケ亜科,",NA,FALSE
1649,"Charred Remain","炭化材,ブドウ科,",NA,FALSE
1650,"Charred Remain","炭化材,ブナ科コナラ属,",NA,FALSE
1651,"Charred Remain","炭化材,モミ属,",NA,FALSE
1652,"Charred Remain","炭化材,不明",NA,FALSE
1653,"Charred Remain","炭化材,最外1年輪",NA,FALSE
1654,"Charred Remain","炭化材,最外縁",NA,FALSE
1655,"Charred Remain","炭化材,外から10年輪",NA,FALSE
1656,"Charred Remain","炭化材,外から11年目",NA,FALSE
1657,"Charred Remain","炭化材,外から1年目",NA,FALSE
1658,"Charred Remain","炭化材,外から20年輪",NA,FALSE
1659,"Charred Remain","炭化材,外から21年目",NA,FALSE
1660,"Charred Remain","炭化材,外から21年輪",NA,FALSE
1661,"Charred Remain","炭化材,外から31年目",NA,FALSE
1662,"Charred Remain","炭化材,外から31年輪",NA,FALSE
1663,"Charred Remain","炭化材,外から35年目",NA,FALSE
1664,"Charred Remain","炭化材,外側",NA,FALSE
1665,"Charred Remain","炭化材,広葉樹,",NA,FALSE
1666,"Charred Remain","炭化材,木炭,",NA,FALSE
1667,"Charred Remain","炭化材,樹幹材,",NA,FALSE
1668,"Charred Remain","炭化材,炭,",NA,FALSE
1669,"Charred Remain","炭化材,炭化物,",NA,FALSE
1670,"Charred Remain","炭化材,炭化物,土壌中",NA,FALSE
1671,"Charred Remain","炭化材,炭化物,樹幹",NA,FALSE
1672,"Charred Remain","炭化材,網代状繊維,",NA,FALSE
1673,"Charred Remain","炭化材,針葉樹,",NA,FALSE
1674,"Charred Remain","炭化材?",NA,FALSE
1675,"Charred Remain","炭化材？",NA,FALSE
1676,"Charred Remain","炭化材？(コナラ属クヌギ節)",NA,FALSE
1677,"Charred Remain","炭化材？(マツ属複維管束亜属)",NA,FALSE
1678,"Charred Remain","炭化材(1-5y)",NA,FALSE
1679,"Charred Remain","炭化材(11-15y)",NA,FALSE
