"Material_Classification","Material_Details_JPN","Material_Details_EN","inconsistent"
"Charred Remain","炭化材(ウルシ属)",NA,FALSE
"Charred Remain","炭化材(エゴノキ属, モミ属)",NA,FALSE
"Charred Remain","炭化材(エゴノキ属?)",NA,FALSE
"Charred Remain","炭化材(エゴノキ属)",NA,FALSE
"Charred Remain","炭化材(エゴノキ属近似種)",NA,FALSE
"Charred Remain","炭化材(エノキ属)",NA,FALSE
"Charred Remain","炭化材（エノキ属）",NA,FALSE
"Charred Remain","炭化材(オニグルミ･クリ)",NA,FALSE
"Charred Remain","炭化材(オニグルミ、カエデ属、ケンポナシ属)",NA,FALSE
"Charred Remain","炭化材(オニグルミ、カエデ属、トネリコ属)",NA,FALSE
"Charred Remain","炭化材(オニグルミ、クリ)",NA,FALSE
"Charred Remain","炭化材（オニグルミ(5)）",NA,FALSE
"Charred Remain","炭化材(オニグルミ)",NA,FALSE
"Charred Remain","炭化材（オニグルミ）",NA,FALSE
"Charred Remain","炭化材(オニグルミ近似種)",NA,FALSE
"Charred Remain","炭化材(カエデ属、ブナ属)",NA,FALSE
"Charred Remain","炭化材（カエデ属(5)）",NA,FALSE
"Charred Remain","炭化材(カエデ属)",NA,FALSE
"Charred Remain","炭化材（カエデ属）",NA,FALSE
"Charred Remain","炭化材(カエデ属の一種)",NA,FALSE
"Charred Remain","炭化材(カエデ科カエデ属)",NA,FALSE
"Charred Remain","炭化材(カキノキ属)",NA,FALSE
"Charred Remain","炭化材(カシノキ属)",NA,FALSE
"Charred Remain","炭化材(カツラ)",NA,FALSE
"Charred Remain","炭化材(カバノキ属)",NA,FALSE
"Charred Remain","炭化材(カバノキ科)",NA,FALSE
"Charred Remain","炭化材(ガマズミ属)",NA,FALSE
"Charred Remain","炭化材(カマツカ)",NA,FALSE
"Charred Remain","炭化材（カマド内）",NA,FALSE
"Charred Remain","炭化材(カヤ)",NA,FALSE
"Charred Remain","炭化材（カヤ）",NA,FALSE
"Charred Remain","炭化材(カラマツまたはトウヒ属)",NA,FALSE
"Charred Remain","炭化材(カラマツ属)",NA,FALSE
"Charred Remain","炭化材(カラマツ属orトウヒ属)",NA,FALSE
"Charred Remain","炭化材(カラマツ属またはトウヒ属)",NA,FALSE
"Charred Remain","炭化材(キハダ)",NA,FALSE
"Charred Remain","炭化材（キハダ）",NA,FALSE
"Charred Remain","炭化材(キハダ属)",NA,FALSE
"Charred Remain","炭化材(キハダ近似種)",NA,FALSE
"Charred Remain","炭化材(キリ)",NA,FALSE
"Charred Remain","炭化材(クサギ)",NA,FALSE
"Charred Remain","炭化材(クスノキ)",NA,FALSE
"Charred Remain","炭化材（クスノキ）",NA,FALSE
"Charred Remain","炭化材(クスノキ科)",NA,FALSE
"Charred Remain","炭化材（クスノキ科）",NA,FALSE
"Charred Remain","炭化材(クスノキ科クスノキ属ヤブニッケイ)",NA,FALSE
"Charred Remain","炭化材(クスノキ科シロダモ属)",NA,FALSE
"Charred Remain","炭化材(クヌギ･コナラ?)",NA,FALSE
"Charred Remain","炭化材(クヌギ･コナラ)",NA,FALSE
"Charred Remain","炭化材(クヌギ節,4年輪)",NA,FALSE
"Charred Remain","炭化材(クヌギ節:1年輪)",NA,FALSE
"Charred Remain","炭化材(クヌギ節:2年輪)",NA,FALSE
"Charred Remain","炭化材(クヌギ節:3年輪)",NA,FALSE
"Charred Remain","炭化材(クヌギ節:4年輪)",NA,FALSE
"Charred Remain","炭化材(クヌギ節)",NA,FALSE
"Charred Remain","炭化材（クヌギ節）",NA,FALSE
"Charred Remain","炭化材(クヌギ節の一種)",NA,FALSE
"Charred Remain","炭化材(クヌギ類)",NA,FALSE
"Charred Remain","炭化材(クマシデ属)",NA,FALSE
"Charred Remain","炭化材(クマシデ属イヌシデ節,クリ)",NA,FALSE
"Charred Remain","炭化材(クマシデ属イヌシデ節)",NA,FALSE
"Charred Remain","炭化材(クマシデ属クマシデ設)",NA,FALSE
"Charred Remain","炭化材(クマシデ節)",NA,FALSE
"Charred Remain","炭化材(クマノミズキ類)",NA,FALSE
"Charred Remain","炭化材(グミ)",NA,FALSE
"Charred Remain","炭化材(グミ属)",NA,FALSE
"Charred Remain","炭化材(クリ-コナラ属コナラ節)",NA,FALSE
"Charred Remain","炭化材(クリ-コナラ節)",NA,FALSE
"Charred Remain","炭化材(クリ･イネ科タケ亜科)",NA,FALSE
"Charred Remain","炭化材(クリ･キハダ)",NA,FALSE
"Charred Remain","炭化材(クリ･スノキ属)(部位不明)",NA,FALSE
"Charred Remain","炭化材(クリ･タケ亜科)",NA,FALSE
"Charred Remain","炭化材(クリ, ケンポナシ属)",NA,FALSE
"Charred Remain","炭化材(クリ, コナラ)",NA,FALSE
"Charred Remain","炭化材(クリ, 広葉樹)",NA,FALSE
"Charred Remain","炭化材(クリ,カエデ属)",NA,FALSE
"Charred Remain","炭化材(クリ,ブナ属)",NA,FALSE
"Charred Remain","炭化材(クリ、カエデ属)",NA,FALSE
"Charred Remain","炭化材(クリ、サクラ属、カエデ属、ブナ属)",NA,FALSE
"Charred Remain","炭化材(クリ、マツ属複維管束亜属)",NA,FALSE
"Charred Remain","炭化材(クリ、ヤマグワ)",NA,FALSE
"Charred Remain","炭化材（クリ、最終形成年輪、外側4年輪分）",NA,FALSE
"Charred Remain","炭化材(クリ、広葉樹)",NA,FALSE
"Charred Remain","炭化材(クリ、散孔材)",NA,FALSE
"Charred Remain","炭化材(クリ、樹皮)",NA,FALSE
"Charred Remain","炭化材(クリ:1年輪分)",NA,FALSE
"Charred Remain","炭化材(クリ?)",NA,FALSE
"Charred Remain","炭化材(クリ)",NA,FALSE
"Charred Remain","炭化材(クリ）",NA,FALSE
"Charred Remain","炭化材（クリ）",NA,FALSE
"Charred Remain","炭化材(クリ)　2年輪",NA,FALSE
"Charred Remain","炭化材(クリ)･土壌",NA,FALSE
"Charred Remain","炭化材(クリ−シイノキ属)",NA,FALSE
"Charred Remain","炭化材(クリまたはコナラ節)",NA,FALSE
"Charred Remain","炭化材(クリまたはシイノキ属)",NA,FALSE
"Charred Remain","炭化材(クリまたはシイ属)",NA,FALSE
"Charred Remain","炭化材(クリ材)",NA,FALSE
"Charred Remain","炭化材(クリ近似種)",NA,FALSE
"Charred Remain","炭化材(クリ類似種)",NA,FALSE
"Charred Remain","炭化材(クルミ属)",NA,FALSE
"Charred Remain","炭化材(クロモジ属)",NA,FALSE
"Charred Remain","炭化材(クワ)",NA,FALSE
"Charred Remain","炭化材(クワ属)",NA,FALSE
"Charred Remain","炭化材(クワ属＆クマシデ属)",NA,FALSE
"Charred Remain","炭化材(ケヤキ、シキミ)",NA,FALSE
"Charred Remain","炭化材(ケヤキ)",NA,FALSE
"Charred Remain","炭化材（ケヤキ）",NA,FALSE
"Charred Remain","炭化材(ケンポナシ)",NA,FALSE
"Charred Remain","炭化材(ケンポナシ属)",NA,FALSE
"Charred Remain","炭化材(コウヤマキ)",NA,FALSE
"Charred Remain","炭化材(コクサギ)",NA,FALSE
"Charred Remain","炭化材(コジイ)",NA,FALSE
"Charred Remain","炭化材(コナラ)",NA,FALSE
"Charred Remain","炭化材（コナラ）",NA,FALSE
"Charred Remain","炭化材(コナラ亜属)",NA,FALSE
"Charred Remain","炭化材(コナラ亜属クヌギ節)",NA,FALSE
"Charred Remain","炭化材(コナラ亜属コナラ節)",NA,FALSE
"Charred Remain","炭化材(コナラ属)",NA,FALSE
"Charred Remain","炭化材（コナラ属）",NA,FALSE
"Charred Remain","炭化材(コナラ属アカガシ亜属, クスノキ科. イネ科)",NA,FALSE
"Charred Remain","炭化材(コナラ属アカガシ亜属、サクラ属、ユズリハ属)",NA,FALSE
"Charred Remain","炭化材(コナラ属アカガシ亜属?)",NA,FALSE
"Charred Remain","炭化材(コナラ属アカガシ亜属)",NA,FALSE
"Charred Remain","炭化材(コナラ属アカガシ亜属•1年輪)",NA,FALSE
"Charred Remain","炭化材(コナラ属アカガシ亜属•1年輪未満)",NA,FALSE
"Charred Remain","炭化材(コナラ属アカガシ亜属•4年輪？)",NA,FALSE
"Charred Remain","炭化材（コナラ属アカガシ亜属ブナ科）",NA,FALSE
"Charred Remain","炭化材(コナラ属クヌギ)",NA,FALSE
"Charred Remain","炭化材(コナラ属クヌギ節)",NA,FALSE
"Charred Remain","炭化材(コナラ属クヌギ節とヒノキ属)",NA,FALSE
"Charred Remain","炭化材(コナラ属コナラ亜属)",NA,FALSE
"Charred Remain","炭化材(コナラ属コナラ亜属クヌギ節･クリ)",NA,FALSE
"Charred Remain","炭化材(コナラ属コナラ亜属クヌギ節)",NA,FALSE
"Charred Remain","炭化材（コナラ属コナラ亜属クヌギ節）",NA,FALSE
"Charred Remain","炭化材(コナラ属コナラ亜属コナラ節、ニレ属)",NA,FALSE
"Charred Remain","炭化材(コナラ属コナラ亜属コナラ節?)",NA,FALSE
"Charred Remain","炭化材(コナラ属コナラ亜属コナラ節)",NA,FALSE
"Charred Remain","炭化材（コナラ属コナラ亜属コナラ節）",NA,FALSE
"Charred Remain","炭化材(コナラ属コナラ亜属の一種:ブナ科)",NA,FALSE
"Charred Remain","炭化材(コナラ属コナラ亜科)",NA,FALSE
"Charred Remain","炭化材(コナラ属コナラ亜科クヌギ節)",NA,FALSE
"Charred Remain","炭化材(コナラ属コナラ亜科コナラ節･エゴノキ属)",NA,FALSE
"Charred Remain","炭化材(コナラ属コナラ亜科コナラ節)",NA,FALSE
"Charred Remain","炭化材(コナラ属コナラ亜種クヌギ節)",NA,FALSE
"Charred Remain","炭化材(コナラ属コナラ亜種コナラ節)",NA,FALSE
"Charred Remain","炭化材(コナラ属コナラ節？)",NA,FALSE
"Charred Remain","炭化材(コナラ属コナラ節)",NA,FALSE
"Charred Remain","炭化材（コナラ属コナラ節）",NA,FALSE
"Charred Remain","炭化材(コナラ属コナラ節コナラ節)",NA,FALSE
"Charred Remain","炭化材(コナラ族アカガシ亜属)",NA,FALSE
"Charred Remain","炭化材(コナラ節, クリ)",NA,FALSE
"Charred Remain","炭化材(コナラ節,4年輪)",NA,FALSE
"Charred Remain","炭化材(コナラ節、エゴノキ属、ガマズミ属、サクラ属)",NA,FALSE
"Charred Remain","炭化材(コナラ節)",NA,FALSE
"Charred Remain","炭化材（コナラ節）",NA,FALSE
"Charred Remain","炭化材(ゴンズイ)",NA,FALSE
"Charred Remain","炭化材(サカキ)",NA,FALSE
"Charred Remain","炭化材(サクラ属､ケヤキ、タケ類)",NA,FALSE
"Charred Remain","炭化材(サクラ属)",NA,FALSE
"Charred Remain","炭化材(サクラ属）",NA,FALSE
"Charred Remain","炭化材(サワラ)",NA,FALSE
"Charred Remain","炭化材(サンショウ属)",NA,FALSE
"Charred Remain","炭化材(シイノキ属，より外側〜4年輪分)",NA,FALSE
"Charred Remain","炭化材(シイノキ属，より外側〜5年輪分)",NA,FALSE
"Charred Remain","炭化材(シイノキ属，最外？〜5年輪分)",NA,FALSE
"Charred Remain","炭化材(シイノキ属)",NA,FALSE
"Charred Remain","炭化材(シイノキ属)中心部",NA,FALSE
"Charred Remain","炭化材(シイノキ属近似種)",NA,FALSE
"Charred Remain","炭化材(シイ属､ブナ科)",NA,FALSE
"Charred Remain","炭化材(シイ属)",NA,FALSE
"Charred Remain","炭化材(シキミ?)",NA,FALSE
"Charred Remain","炭化材(シキミ)",NA,FALSE
"Charred Remain","炭化材(シナノキ属?)",NA,FALSE
"Charred Remain","炭化材(シナノキ属)",NA,FALSE
"Charred Remain","炭化材(シャシャンボ)",NA,FALSE
"Charred Remain","炭化材(シラキ)",NA,FALSE
"Charred Remain","炭化材(シラキ属)",NA,FALSE
"Charred Remain","炭化材(シロダモ属)",NA,FALSE
"Charred Remain","炭化材(シロモジ節､クスノキ科)",NA,FALSE
"Charred Remain","炭化材(スギ )",NA,FALSE
"Charred Remain","炭化材(スギ?)",NA,FALSE
"Charred Remain","炭化材(スギ)",NA,FALSE
"Charred Remain","炭化材(スギ)　1-5年輪",NA,FALSE
"Charred Remain","炭化材(スギ)　11-15年輪",NA,FALSE
"Charred Remain","炭化材(スギ)　21-24年輪",NA,FALSE
"Charred Remain","炭化材(ススキ属:直径3㎜)",NA,FALSE
"Charred Remain","炭化材(ススキ属)",NA,FALSE
"Charred Remain","炭化材(スダジイ)",NA,FALSE
"Charred Remain","炭化材(スノキ属)",NA,FALSE
"Charred Remain","炭化材(スノキ属)(部位不明)",NA,FALSE
"Charred Remain","炭化材(センダン)",NA,FALSE
"Charred Remain","炭化材(タイミンタチバナ)",NA,FALSE
"Charred Remain","炭化材(タカノツメ)",NA,FALSE
"Charred Remain","炭化材(タケ)",NA,FALSE
"Charred Remain","炭化材(タケ亜科)",NA,FALSE
"Charred Remain","炭化材(タニウツギ属)",NA,FALSE
"Charred Remain","炭化材(タブノキ)",NA,FALSE
"Charred Remain","炭化材(タブノキ属)",NA,FALSE
"Charred Remain","炭化材(タラノキ)",NA,FALSE
"Charred Remain","炭化材(チドリノキ)",NA,FALSE
"Charred Remain","炭化材(ツガ属)",NA,FALSE
"Charred Remain","炭化材(ツクバネウツギ属)",NA,FALSE
"Charred Remain","炭化材(ツゲ属)",NA,FALSE
"Charred Remain","炭化材(ツツジ属)",NA,FALSE
"Charred Remain","炭化材(ツバキ属)",NA,FALSE
"Charred Remain","炭化材(ツバキ属近似種)",NA,FALSE
"Charred Remain","炭化材(ツバキ科ツバキ属)",NA,FALSE
"Charred Remain","炭化材(ツブラジイ)",NA,FALSE
"Charred Remain","炭化材(ツブラジイ−コナラ属)",NA,FALSE
"Charred Remain","炭化材(ツルウメモドキ属)",NA,FALSE
"Charred Remain","炭化材(つる植物)",NA,FALSE
"Charred Remain","炭化材(トウヒ属-カラマツ属)",NA,FALSE
"Charred Remain","炭化材(トウヒ属?）",NA,FALSE
"Charred Remain","炭化材(トウヒ属？の一種)",NA,FALSE
"Charred Remain","炭化材(トウヒ属)",NA,FALSE
"Charred Remain","炭化材(トウヒ属バラモミ節の一種)",NA,FALSE
"Charred Remain","炭化材(トウヒ属またはカラマツ属)",NA,FALSE
"Charred Remain","炭化材(トガサワラ)",NA,FALSE
"Charred Remain","炭化材(トチノキ)",NA,FALSE
"Charred Remain","炭化材(トネリコ)",NA,FALSE
"Charred Remain","炭化材（トネリコ）",NA,FALSE
"Charred Remain","炭化材(トネリコ属)",NA,FALSE
"Charred Remain","炭化材（トネリコ属）",NA,FALSE
"Charred Remain","炭化材(トネリコ属シオジ節)",NA,FALSE
"Charred Remain","炭化材（トネリコ節）最終形成年輪、3年輪分",NA,FALSE
"Charred Remain","炭化材(トネリコ類)",NA,FALSE
"Charred Remain","炭化材(ナシ亜属)",NA,FALSE
"Charred Remain","炭化材(ナシ亜科)",NA,FALSE
"Charred Remain","炭化材(ナツツバキ属)",NA,FALSE
"Charred Remain","炭化材(ナナカマド属)",NA,FALSE
"Charred Remain","炭化材(ナナカマド近似種)",NA,FALSE
"Charred Remain","炭化材(ナラ)",NA,FALSE
"Charred Remain","炭化材(ナラ類)",NA,FALSE
"Charred Remain","炭化材(ニガキ)",NA,FALSE
"Charred Remain","炭化材(ニシキギ属)",NA,FALSE
"Charred Remain","炭化材（ニレ属(5)）",NA,FALSE
"Charred Remain","炭化材(ニレ属)",NA,FALSE
"Charred Remain","炭化材（ニレ属）",NA,FALSE
"Charred Remain","炭化材(ニレ科)",NA,FALSE
"Charred Remain","炭化材(ニレ科エノキ属)",NA,FALSE
"Charred Remain","炭化材(ニレ科ケヤキ属)",NA,FALSE
"Charred Remain","炭化材(ニレ科ニレ属)",NA,FALSE
"Charred Remain","炭化材(ニワトコ)",NA,FALSE
"Charred Remain","炭化材(ヌルデ)",NA,FALSE
"Charred Remain","炭化材(ネジキ)",NA,FALSE
"Charred Remain","炭化材(ネズコ?)",NA,FALSE
"Charred Remain","炭化材(ネズコ)",NA,FALSE
"Charred Remain","炭化材(ネムノキ)",NA,FALSE
"Charred Remain","炭化材（ネムノキ)",NA,FALSE
"Charred Remain","炭化材(ハイノキ)",NA,FALSE
"Charred Remain","炭化材(ハイノキ属)",NA,FALSE
"Charred Remain","炭化材(ハイノキ属サワフタギ節)",NA,FALSE
"Charred Remain","炭化材(ハイノキ属ハイノキ節)",NA,FALSE
"Charred Remain","炭化材(ハイノキ節)",NA,FALSE
"Charred Remain","炭化材(ハコヤナギ属)",NA,FALSE
"Charred Remain","炭化材（ハコヤナギ属）",NA,FALSE
"Charred Remain","炭化材(ハシドイ)",NA,FALSE
"Charred Remain","炭化材(ハシバミ属)",NA,FALSE
"Charred Remain","炭化材(ハゼノキorヤマハゼ?)",NA,FALSE
"Charred Remain","炭化材(ハゼノキ類)",NA,FALSE
"Charred Remain","炭化材(ハマビワ､クスノキ科)",NA,FALSE
"Charred Remain","炭化材(バラ属)",NA,FALSE
"Charred Remain","炭化材(バラ科)",NA,FALSE
"Charred Remain","炭化材(バラ科サクラ属)",NA,FALSE
"Charred Remain","炭化材(バラ科ナシ亜属)",NA,FALSE
"Charred Remain","炭化材(バラ科ナシ亜科)",NA,FALSE
"Charred Remain","炭化材(ハリギリ)",NA,FALSE
"Charred Remain","炭化材(ハルニレ)",NA,FALSE
"Charred Remain","炭化材(ハンノキ亜属)",NA,FALSE
"Charred Remain","炭化材（ハンノキ亜属）",NA,FALSE
"Charred Remain","炭化材(ハンノキ属)",NA,FALSE
"Charred Remain","炭化材(ハンノキ属ハンノキ亜属、クリ)",NA,FALSE
"Charred Remain","炭化材(ハンノキ属ハンノキ亜属)",NA,FALSE
"Charred Remain","炭化材(ハンノキ属ハンノキ節)",NA,FALSE
"Charred Remain","炭化材(ハンノキ属ヤシャブシ亜属)",NA,FALSE
"Charred Remain","炭化材(ハンノキ節)",NA,FALSE
"Charred Remain","炭化材(ヒサカキ)",NA,FALSE
"Charred Remain","炭化材(ヒサカキ属)",NA,FALSE
"Charred Remain","炭化材(ヒノキ)",NA,FALSE
"Charred Remain","炭化材(ヒノキorスギ)",NA,FALSE
"Charred Remain","炭化材(ヒノキ属, クリ)",NA,FALSE
"Charred Remain","炭化材(ヒノキ属、カエデ属)",NA,FALSE
"Charred Remain","炭化材(ヒノキ属、クリ、エゴノキ属)",NA,FALSE
"Charred Remain","炭化材(ヒノキ属)",NA,FALSE
"Charred Remain","炭化材(ヒノキ科、カエデ属)",NA,FALSE
"Charred Remain","炭化材(ヒノキ科)",NA,FALSE
"Charred Remain","炭化材(ヒノキ科アスナロ属)",NA,FALSE
"Charred Remain","炭化材(ヒバ)",NA,FALSE
"Charred Remain","炭化材(ヒメバラモミ)",NA,FALSE
"Charred Remain","炭化材(ふいごの羽口付)(コナラ属アカガシ亜属)",NA,FALSE
"Charred Remain","炭化材(フジキ属)",NA,FALSE
"Charred Remain","炭化材(フタバガキ科)",NA,FALSE
"Charred Remain","炭化材(ブナ属、クリ、コナラ属コナラ亜属コナラ節)",NA,FALSE
"Charred Remain","炭化材(ブナ属、コナラ属コナラ亜属クヌギ節)",NA,FALSE
"Charred Remain","炭化材(ブナ属、コナラ属コナラ亜属コナラ節)",NA,FALSE
"Charred Remain","炭化材(ブナ属、トネリコ属、カツラ)",NA,FALSE
"Charred Remain","炭化材(ブナ属)",NA,FALSE
"Charred Remain","炭化材(ブナ科　クリ、シイ属、コナラ属コナラ節のいずれか)",NA,FALSE
"Charred Remain","炭化材(ブナ科)",NA,FALSE
"Charred Remain","炭化材（ブナ科クリ属）",NA,FALSE
"Charred Remain","炭化材(ブナ科クリ属クリ)",NA,FALSE
"Charred Remain","炭化材(ブナ科コナラ属アカガシ亜属)",NA,FALSE
"Charred Remain","炭化材(ブナ科シイ属ツブラジイ)",NA,FALSE
"Charred Remain","炭化材(ブナ科ブナ属)",NA,FALSE
"Charred Remain","炭化材(マキ属)",NA,FALSE
"Charred Remain","炭化材(マダケ)",NA,FALSE
"Charred Remain","炭化材(マタタビ属)",NA,FALSE
"Charred Remain","炭化材(マツ?)",NA,FALSE
"Charred Remain","炭化材(マツ)",NA,FALSE
"Charred Remain","炭化材(マツ属?)",NA,FALSE
"Charred Remain","炭化材(マツ属)",NA,FALSE
"Charred Remain","炭化材(マツ属の根材)",NA,FALSE
"Charred Remain","炭化材(マツ属複維官束亜属)",NA,FALSE
"Charred Remain","炭化材(マツ属複維管属亜属)",NA,FALSE
"Charred Remain","炭化材(マツ属複維管束亜属･半径25mm)",NA,FALSE
"Charred Remain","炭化材(マツ属複維管束亜属, サクラ属)",NA,FALSE
"Charred Remain","炭化材(マツ属複維管束亜属, モミ属)",NA,FALSE
"Charred Remain","炭化材(マツ属複維管束亜属、クスノキ科、モチノキ属近似種)",NA,FALSE
"Charred Remain","炭化材(マツ属複維管束亜属)",NA,FALSE
"Charred Remain","炭化材(マツ属複維管束亜属の一種)",NA,FALSE
"Charred Remain","炭化材(マツ科)",NA,FALSE
"Charred Remain","炭化材(マツ科マツ属)",NA,FALSE
"Charred Remain","炭化材(マツ複維管属亜属)",NA,FALSE
"Charred Remain","炭化材(マツ複維管束亜属)",NA,FALSE
"Charred Remain","炭化材(マテバシイ)",NA,FALSE
"Charred Remain","炭化材(マメ科サイカチ属サイカチ)",NA,FALSE
"Charred Remain","炭化材(マンサク属)",NA,FALSE
"Charred Remain","炭化材(ミカン科キハダ属キハダ)",NA,FALSE
"Charred Remain","炭化材(ミズキ、モミ属)",NA,FALSE
"Charred Remain","炭化材(ミズキ属?)",NA,FALSE
"Charred Remain","炭化材(ミズキ属)",NA,FALSE
"Charred Remain","炭化材(ミツバウツギ科)",NA,FALSE
"Charred Remain","炭化材(ムクノキ)",NA,FALSE
"Charred Remain","炭化材(ムクノキ•2年輪)",NA,FALSE
"Charred Remain","炭化材(ムクロジ)",NA,FALSE
"Charred Remain","炭化材(ムクロジ近似種)",NA,FALSE
"Charred Remain","炭化材(ムラサキシキブ属)",NA,FALSE
"Charred Remain","炭化材(メダケ属ネザサ節)",NA,FALSE
"Charred Remain","炭化材(モクレン)",NA,FALSE
"Charred Remain","炭化材(モクレン属、イネ科タケ亜科)",NA,FALSE
"Charred Remain","炭化材(モクレン属)",NA,FALSE
"Charred Remain","炭化材(モクレン科モクレン属)",NA,FALSE
"Charred Remain","炭化材(モチノキ属)",NA,FALSE
"Charred Remain","炭化材(モチノキ科モチノキ属)",NA,FALSE
"Charred Remain","炭化材(モミ属)",NA,FALSE
"Charred Remain","炭化材（モミ属）　樹種同定白滝-84と同一個体",NA,FALSE
"Charred Remain","炭化材(モモ)",NA,FALSE
"Charred Remain","炭化材(ヤクシマサルスベリ)",NA,FALSE
"Charred Remain","炭化材（ヤナギ）",NA,FALSE
"Charred Remain","炭化材(ヤナギ属、コナラ属コナラ亜属コナラ節、クリ、トネリコ属)",NA,FALSE
"Charred Remain","炭化材(ヤナギ属、モクレン属)",NA,FALSE
"Charred Remain","炭化材（ヤナギ属(4)）",NA,FALSE
"Charred Remain","炭化材(ヤナギ属)",NA,FALSE
"Charred Remain","炭化材（ヤナギ属）",NA,FALSE
"Charred Remain","炭化材（ヤナギ枝？）",NA,FALSE
"Charred Remain","炭化材(ヤナギ科)",NA,FALSE
"Charred Remain","炭化材(ヤブツバキ)",NA,FALSE
"Charred Remain","炭化材（ヤブツバキ）",NA,FALSE
"Charred Remain","炭化材(ヤマウルシ)",NA,FALSE
"Charred Remain","炭化材(ヤマウルシ様環孔材)",NA,FALSE
"Charred Remain","炭化材(ヤマガキ)",NA,FALSE
"Charred Remain","炭化材(ヤマグワ)",NA,FALSE
"Charred Remain","炭化材（ヤマグワ）",NA,FALSE
"Charred Remain","炭化材(ヤマグワ近似種)",NA,FALSE
"Charred Remain","炭化材(ヤマビワ､アワブキ科)",NA,FALSE
"Charred Remain","炭化材(ユズリハ属)",NA,FALSE
"Charred Remain","炭化材(リョウブ)",NA,FALSE
"Charred Remain","炭化材(リンボク)",NA,FALSE
"Charred Remain","炭化材（上屋）",NA,FALSE
"Charred Remain","炭化材(不明)",NA,FALSE
"Charred Remain","炭化材(不明散孔材)",NA,FALSE
"Charred Remain","炭化材(不明環孔材)",NA,FALSE
"Charred Remain","炭化材（丸木）",NA,FALSE
"Charred Remain","炭化材(丸材か)",NA,FALSE
"Charred Remain","炭化材(仮材)",NA,FALSE
"Charred Remain","炭化材(最外年輪)",NA,FALSE
"Charred Remain","炭化材（最外年輪）",NA,FALSE
"Charred Remain","炭化材（最外年輪である可能性高いが不確実）",NA,FALSE
"Charred Remain","炭化材（最終形成年輪）",NA,FALSE
"Charred Remain","炭化材（最終形成年輪以外。樹皮に近い部分を採取）",NA,FALSE
"Charred Remain","炭化材(双子葉植物)",NA,FALSE
"Charred Remain","炭化材（垂木？）",NA,FALSE
"Charred Remain","炭化材(塊状)",NA,FALSE
"Charred Remain","炭化材（外側2年輪分）",NA,FALSE
"Charred Remain","炭化材（外側6年輪分）",NA,FALSE
"Charred Remain","炭化材(大径:アカガシ亜属)",NA,FALSE
"Charred Remain","炭化材(小径:アカガシ亜属)",NA,FALSE
"Charred Remain","炭化材(小片複数)",NA,FALSE
"Charred Remain","炭化材（広葉樹・タケ亜科・樹皮等）",NA,FALSE
"Charred Remain","炭化材(広葉樹･散孔材)",NA,FALSE
"Charred Remain","炭化材(広葉樹･樹皮)",NA,FALSE
"Charred Remain","炭化材(広葉樹･環孔材)",NA,FALSE
"Charred Remain","炭化材(広葉樹:環孔材)",NA,FALSE
"Charred Remain","炭化材(広葉樹?)",NA,FALSE
"Charred Remain","炭化材(広葉樹？)",NA,FALSE
"Charred Remain","炭化材(広葉樹(散孔材))",NA,FALSE
"Charred Remain","炭化材(広葉樹(環孔材))",NA,TRUE
"Wood","炭化材(広葉樹(環孔材))",NA,TRUE
"Charred Remain","炭化材(広葉樹)",NA,FALSE
"Charred Remain","炭化材（広葉樹）",NA,FALSE
"Charred Remain","炭化材(広葉樹•1年輪未満)",NA,FALSE
"Charred Remain","炭化材(広葉樹の節)",NA,FALSE
"Charred Remain","炭化材(広葉樹散孔材)",NA,FALSE
"Charred Remain","炭化材(広葉樹樹幹の材片)",NA,FALSE
"Charred Remain","炭化材(広葉樹環孔材?)",NA,FALSE
"Charred Remain","炭化材(広葉樹節)",NA,FALSE
"Charred Remain","炭化材(散孔材･環孔材)",NA,FALSE
"Charred Remain","炭化材(散孔材，2年輪分)",NA,FALSE
"Charred Remain","炭化材(散孔材:5年輪)",NA,FALSE
"Charred Remain","炭化材(散孔材?)",NA,FALSE
"Charred Remain","炭化材(散孔材？)",NA,FALSE
"Charred Remain","炭化材(散孔材)",NA,FALSE
"Charred Remain","炭化材（散孔材）",NA,FALSE
"Charred Remain","炭化材(散孔材2)",NA,FALSE
"Charred Remain","炭化材(散孔材5年輪(外側))",NA,FALSE
"Charred Remain","炭化材(散孔材の一種)",NA,FALSE
"Charred Remain","炭化材（木材）",NA,FALSE
"Charred Remain","炭化材（木炭・住居建築材）",NA,FALSE
"Charred Remain","炭化材（木炭・木釘状の細い枝）",NA,FALSE
"Charred Remain","炭化材（木炭・柱材外周部）",NA,FALSE
"Charred Remain","炭化材（木炭）",NA,FALSE
"Charred Remain","炭化材(木炭粒)",NA,FALSE
"Charred Remain","炭化材(木片)",NA,FALSE
"Charred Remain","炭化材(未同定)",NA,FALSE
"Charred Remain","炭化材(杭？)",NA,FALSE
"Charred Remain","炭化材(板材)",NA,FALSE
"Charred Remain","炭化材(板目板状マツ属複維管束亜属)",NA,FALSE
"Charred Remain","炭化材（枝材・木炭（0.58g））",NA,FALSE
"Charred Remain","炭化材(枝材)",NA,FALSE
"Charred Remain","炭化材（棟木？）",NA,FALSE
"Charred Remain","炭化材（構築材？）",NA,FALSE
"Charred Remain","炭化材(樹木類)",NA,FALSE
"Charred Remain","炭化材(樹皮)",NA,FALSE
"Charred Remain","炭化材（樹皮）",NA,FALSE
